,Name,Product mz,Charge,QqQ Optimized CE,HRMS Optimized CE (converted),HRMS Optimized CE (unconverted)
0,cAMP,136.1,1,24.0,24.265653907071034,40.0
3,cAMP,119.1,1,40.0,41.05041187944501,80.0
4,cGMP,152.0,1,20.0,18.186643466836568,25.0
5,cGMP,135.0,1,40.0,37.0694961857573,70.0
6,cGMP,110.1,1,40.0,37.0694961857573,70.0
8,Acetoacetyl-CoA,345.1,1,36.0,24.998040370564947,25.0
9,Acetoacetyl-CoA,428.0,1,28.0,22.8999456240182,20.0
10,Acetoacetyl-CoA,243.1,1,32.0,22.8999456240182,20.0
12,Acetyl-CoA,303.1,1,32.0,26.53071931611763,30.0
13,Acetyl-CoA,428.0,1,28.0,22.334529823024134,20.0
14,Acetyl-CoA,201.0,1,32.0,22.334529823024134,20.0
16,Adenine,119.1,1,24.0,21.65465515842424,40.0
17,Adenine,92.1,1,32.0,30.04703414461123,60.0
18,Adenine,65.2,1,40.0,38.43941313079822,80.0
19,Adenine,67.2,1,32.0,30.04703414461123,60.0
20,Adenosine,136.1,1,16.0,19.23560836873381,30.0
21,Adenosine,119.1,1,40.0,40.21655583420128,80.0
24,ADP,136.1,1,28.0,23.486219723993955,35.0
25,ADP,348.0,1,16.0,17.191935484353714,20.0
26,Asparagine,74.2,1,16.0,17.418075390384672,30.0
27,Asparagine,87.2,1,8.0,13.221885897291179,20.0
28,ATP,136.1,1,40.0,30.85676244295652,50.0
29,ATP,410.0,1,16.0,18.268193963676037,20.0
31,beta-Alanine,72.2,1,4.0,8.446885773717101,10.0
34,Chelidamate,69.2,1,40.0,34.88874314082067,70.0
35,Chelidamate,110.1,1,24.0,22.300174661540183,40.0
36,CMP-sialic-acid,112.1,1,32.0,23.90652435357222,30.0
37,CMP-sialic-acid,324.0,1,8.0,15.51414536738523,10.0
38,Cystine,74.2,1,24.0,23.067426494544566,40.0
39,Cystine,120.0,1,20.0,18.87123700145107,30.0
40,Cystine,152.0,1,8.0,14.675047508357578,20.0
41,Cystine,122.0,1,12.0,16.773142254904325,25.0
42,Cytidine,112.1,1,8.0,14.716254145967262,20.0
43,Cytidine,95.1,1,40.0,39.89339110452823,80.0
44,Cytidine,69.2,1,40.0,35.69720161143473,70.0
46,Dopamine,137.1,1,8.0,13.504866003915744,20.0
47,Dopamine,91.2,1,24.0,26.093434483196226,50.0
48,Dopamine,65.2,1,40.0,34.485813469383224,70.0
49,Dopamine,119.1,1,16.0,19.799150243555985,35.0
50,GABA,87.2,1,8.0,8.63552091890086,10.0
51,GABA,69.2,1,16.0,17.02789990508785,30.0
52,GN6P,126.1,1,8.0,14.931060567788546,20.0
53,Glutamine,84.2,1,16.0,17.606710535568432,30.0
54,Glutamine,130.1,1,8.0,9.214331549381443,10.0
55,Glutamine,56.2,1,36.0,30.195279014848914,60.0
56,Guanosine,152.1,1,8.0,17.352787417555174,25.0
57,Guanosine,135.1,1,40.0,36.23564013647591,70.0
