,Name,Product mz,Charge,QqQ Optimized CE,HRMS Optimized CE (converted),HRMS Optimized CE (unconverted)
0,6-PGA,96.97,-1,15.74,14.096997893932214,20.0
1,6-PGA,257.19599999999997,-1,11.7,8.962807522683025,10.0
2,6-PGA,79.042,-1,35.12,39.767949750178154,70.0
4,Acetoacetyl-CoA,766.1669999999999,-1,28.55,29.59308683391605,20.0
6,Acetoacetyl-CoA,408.07099999999997,-1,40.21,34.72727720516524,30.0
7,Acetoacetyl-CoA,419.05400000000003,-1,41.56,34.72727720516524,30.0
8,Acetoacetyl-CoA,425.88699999999994,-1,36.97,34.72727720516524,30.0
9,Acetyl-CoA,461.167,-1,34.74,33.59532401230829,30.0
10,Acetyl-CoA,426.167,-1,33.26,31.028228826683694,25.0
11,Acetyl-CoA,408.11300000000006,-1,35.24,33.59532401230829,30.0
13,Acetyl-CoA,728.25,-1,34.49,33.59532401230829,30.0
14,Adenine,107.054,-1,17.17,15.432820473564705,30.0
15,Adenine,92.042,-1,19.2,20.56701084481389,40.0
16,Adenine,65.196,-1,28.08,30.83539158731227,60.0
17,ADP,328.125,-1,16.04,18.16574382175848,20.0
18,ADP,408.185,-1,18.69,20.73283900738307,25.0
19,ADP,159.03,-1,25.6,25.86702937863226,35.0
21,ADP,134.125,-1,22.78,20.73283900738307,25.0
22,AKG,101.042,-1,7.02,5.459940442080859,10.0
23,AKG,57.053999999999995,-1,11.32,10.594130813330047,20.0
25,AKG,73.095,-1,14.6,15.728321184579242,30.0
26,Asparagine,114.125,-1,11.61,10.217769431981935,20.0
27,Asparagine,95.125,-1,11.99,10.217769431981935,20.0
28,Aspartate,88.125,-1,11.91,10.244283344571912,20.0
29,Aspartate,115.024,-1,11.11,10.244283344571912,20.0
30,Aspartate,71.095,-1,14.81,15.378473715821102,30.0
31,ATP,408.05400000000003,-1,19.83,22.88749089342232,25.0
32,ATP,159.042,-1,30.53,30.588776450296105,40.0
33,ATP,426.07099999999997,-1,24.97,25.454586079046923,30.0
35,ATP,176.958,-1,22.9,25.454586079046923,30.0
36,Chelidamate,138.125,-1,11.66,11.590949597665436,20.0
37,Chelidamate,93.845,-1,17.59,16.725139968914625,30.0
38,Chelidamate,66.196,-1,27.41,42.39609182516058,80.0
