Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training
cAMP,330.0597957,1.78,3.57,136.1,1,24,1
cAMP,330.0597957,1.78,3.57,97.1,1,20,1
cAMP,330.0597957,1.78,3.57,312,1,16,1
cAMP,330.0597957,1.78,3.57,119.1,1,40,1
cGMP,346.054706,5.17,5.58,152,1,20,0
cGMP,346.054706,5.17,5.58,135,1,40,0
cGMP,346.054706,5.17,5.58,110.1,1,40,0
6-PGA,277.031912,8.53,8.92,164.1,1,32,0
Acetoacetyl-CoA,852.143616,6.1,6.57,345.1,1,36,0
Acetoacetyl-CoA,852.143616,6.1,6.57,428,1,28,0
Acetoacetyl-CoA,852.143616,6.1,6.57,243.1,1,32,0
Acetoacetyl-CoA,852.143616,6.1,6.57,769.1,1,20,0
Acetyl-CoA,810.133046,6.02,6.43,303.1,1,32,1
Acetyl-CoA,810.133046,6.02,6.43,428,1,28,1
Acetyl-CoA,810.133046,6.02,6.43,201,1,32,1
Acetyl-CoA,810.133046,6.02,6.43,435.4,1,12,1
Adenine,136.061776,2.18,3.22,119.1,1,24,1
Adenine,136.061776,2.18,3.22,92.1,1,32,1
Adenine,136.061776,2.18,3.22,65.2,1,40,1
Adenine,136.061776,2.18,3.22,67.2,1,32,1
Adenosine,268.104032,2.12,3.34,136.1,1,16,1
Adenosine,268.104032,2.12,3.34,119.1,1,40,1
Adenosine,268.104032,2.12,3.34,57.2,1,32,1
Adenosine,268.104032,2.12,3.34,55.2,1,36,1
ADP,428.036686,6.96,7.77,136.1,1,28,1
ADP,428.036686,6.96,7.77,348,1,16,1
Asparagine,133.060766,6.4,6.86,74.2,1,16,0
Asparagine,133.060766,6.4,6.86,87.2,1,8,0
Asparagine,133.060766,6.4,6.86,44.2,1,20,0
Asparagine,133.060766,6.4,6.86,46.2,1,20,0
ATP,508.003026,7.98,8.51,136.1,1,40,1
ATP,508.003026,7.98,8.51,410,1,16,1
ATP,508.003026,7.98,8.51,305.6,1,36,1
beta-Alanine,90.054956,6.53,6.99,72.2,1,4,0
beta-Alanine,90.054956,6.53,6.99,45.2,1,40,0
beta-Alanine,90.054956,6.53,6.99,43.2,1,24,0
Chelidamate,184.024076,6.46,6.95,138,1,16,0
Chelidamate,184.024076,6.46,6.95,166,1,8,0
Chelidamate,184.024076,6.46,6.95,69.2,1,40,0
Chelidamate,184.024076,6.46,6.95,110.1,1,24,0
CMP-sialic-acid,615.1545435,7,7.4,112.1,1,32,0
CMP-sialic-acid,615.1545435,7,7.4,324,1,8,0
Cystine,241.031126,6.95,7.43,74.2,1,24,0
Cystine,241.031126,6.95,7.43,120,1,20,0
Cystine,241.031126,6.95,7.43,152,1,8,0
Cystine,241.031126,6.95,7.43,122,1,12,0
Cytidine,244.092792,4.5,4.98,112.1,1,8,0
Cytidine,244.092792,4.5,4.98,95.1,1,40,0
Cytidine,244.092792,4.5,4.98,69.2,1,40,0
Cytidine,244.092792,4.5,4.98,57.2,1,36,0
Dopamine,154.086276,10.66,13.26,137.1,1,8,0
Dopamine,154.086276,10.66,13.26,91.2,1,24,0
Dopamine,154.086276,10.66,13.26,65.2,1,40,0
