Name,mz,Product mz,rt_start,rt_end,CE,Charge,Training
Adenine,136.061776,119,2.18,3.22,24,1,1
Adenine,136.061776,118.9,2.18,3.22,24,1,1
Adenosine,268.104032,136.1,2.12,3.34,16,1,1
Adenosine,268.104032,119,2.12,3.34,40,1,1
cAMP,330.0597957,312.1,1.78,3.57,16,1,1
cAMP,330.0597957,135.9,1.78,3.57,24,1,1
Alanine,90.054956,44.1,6.07,6.5,12,1,0
Arginine,175.118956,70,11.5,12.2,28,1,0
Arginine,175.118956,60,11.5,12.2,16,1,0
Asparagine,133.060766,87,6.4,6.86,20,1,0
Asparagine,133.060766,74,6.4,6.86,10,1,0
Citrate,193.034276,111,8.85,9.32,20,1,1
Citrate,193.034276,69,8.85,9.32,40,1,1
cGMP,346.054706,152,5.17,5.58,24,1,0
cGMP,346.054706,135,5.17,5.58,40,1,0
Cystine,241.031126,120,6.95,7.43,23,1,0
Cystine,241.031126,74,6.95,7.43,32,1,0
Cytidine,244.092792,111.9,4.5,4.98,20,1,0
Cytidine,244.092792,112,4.5,4.98,16,1,0
Dopamine,154.086276,137,10.66,13.26,8,1,0
Dopamine,154.086276,91,10.66,13.26,24,1,0
Fumarate,117.018236,114.9,7.2,7.72,20,1,0
Glutamate,148.060436,84,6.16,6.54,16,1,0
Glutamate,148.060436,56.1,6.16,6.54,40,1,0
Glutamine,147.076416,130,6.37,6.72,10,1,0
Glutamine,147.076416,84,6.37,6.72,20,1,0
Glycine,76.039306,30,6.69,7.09,40,1,0
Guanosine,284.098942,152,5.08,5.48,16,1,0
Guanosine,284.098942,135,5.08,5.48,40,1,0
Histamine,112.0869233,95,11.17,15.53,12,1,0
Histamine,112.0869233,41.1,11.17,15.53,32,1,0
Histidine,156.076756,110,7.42,9.15,16,1,0
Histidine,156.076756,83,7.42,9.15,28,1,0
Homocystine,269.062426,136,7.06,7.53,8,1,0
Homocystine,269.062426,88,7.06,7.53,40,1,0
Isoleucine,132.101906,86,4.24,4.72,8,1,0
Isoleucine,132.101906,44.1,4.24,4.72,24,1,0
Lysine,147.112806,130,11.13,12,8,1,0
Lysine,147.112806,84,11.13,12,16,1,0
Leucine,132.101906,86,3.87,4.23,8,1,0
Leucine,132.101906,44.1,3.87,4.23,24,1,0
Methionine,150.058326,103.9,4.3,4.84,8,1,0
Methionine,150.058326,56,4.3,4.84,16,1,0
NAD,664.116396,428,6.12,6.54,24,1,0
NAD,664.116396,136,6.12,6.54,40,1,0
Phenylalanine,166.086256,120,3.22,3.98,12,1,1
Phenylalanine,166.086256,103,3.22,3.98,32,1,1
Proline,116.070606,70.1,4.95,5.41,20,1,0
Proline,116.070606,43.1,4.95,5.41,36,1,0
S-Adenosylmethionine,399.144516,250.1,7.54,7.94,12,1,0
S-Adenosylmethionine,399.144516,136,7.54,7.94,28,1,0
