,Name,mz,rt_start,rt_end,Charge
0,Compound 1,524.265,0.0,15.0,1.0
1,Compound 2,108.08084109999999,0.828070078,1.216254998,1.0
2,Compound 3,102.1277313,6.76951676,7.3282505229999995,1.0
3,Compound 4,102.1277313,6.980431487000001,7.4532150999999995,1.0
4,Compound 5,162.11253359999998,5.335723125,5.680649606,1.0
5,Compound 6,331.0451355,6.509541365,6.979477145,1.0
6,Compound 7,124.07573700000002,1.047570283,1.143803208,1.0
7,Compound 8,118.08625790000002,3.92679922,4.309833881,1.0
8,Compound 9,132.0767975,6.188740806,6.491012262999999,1.0
9,Compound 10,192.1020355,0.7959417609999999,1.064251276,1.0
10,Compound 11,192.17475890000003,0.660090705,1.095149422,1.0
11,Compound 12,293.09799189999995,6.549725700000001,6.978869258,1.0
12,Compound 13,74.09648132,8.723643085,9.190900683999999,1.0
13,Compound 14,218.2114563,1.677139226,1.918242464,1.0
14,Compound 15,178.1590881,0.722619692,1.0601655859999999,1.0
15,Compound 16,116.07074740000002,4.937812514,5.386475582999999,1.0
16,Compound 17,415.2116089,0.708998873,0.99276236,1.0
17,Compound 18,114.06627659999998,2.6293281580000003,3.194414606,1.0
18,Compound 19,74.09648132,8.864372025,9.325425486,1.0
19,Compound 20,204.1228943,4.012915735,4.337281324,1.0
20,Compound 21,234.22155759999998,0.721652575,1.006286189,1.0
21,Compound 22,128.953598,12.89764742,13.80321264,1.0
22,Compound 23,264.2321472,0.643016247,0.94810867,1.0
23,Compound 24,206.1902618,0.738802765,1.082815123,1.0
24,Compound 25,150.1278381,0.784951163,1.082668231,1.0
25,Compound 26,144.1020966,3.390057826,3.940524458,1.0
26,Compound 27,239.1490173,0.987718047,1.113139955,1.0
27,Compound 28,137.045929,3.084918347,3.6750794819999997,1.0
28,Compound 29,204.1228943,3.863501789,4.302638121,1.0
29,Compound 30,118.08625790000002,4.093052613,4.9753173319999995,1.0
30,Compound 31,176.971344,8.235710237000001,8.945845923,1.0
31,Compound 32,130.0500183,6.350379971000001,6.83774308,1.0
32,Compound 33,195.12266540000002,1.0326452179999999,1.109025046,1.0
33,Compound 34,234.20642090000004,0.999940327,1.1252657879999999,1.0
34,Compound 35,166.08633419999998,3.4955388739999997,3.931864305,1.0
35,Compound 36,132.1018677,3.958863032,4.384469005,1.0
36,Compound 37,83.06043243,1.788008205,1.872675408,1.0
37,Compound 38,258.10992430000005,6.135924055,6.406440604,1.0
38,Compound 39,129.0660858,6.262931919,6.590934971,1.0
39,Compound 40,120.08090209999999,3.3110642489999997,4.068123749,1.0
40,Compound 41,97.07614899,1.802431928,2.000670835,1.0
41,Compound 42,127.1230392,6.4495966,6.853849294,1.0
42,Compound 43,352.93530269999997,8.137333426,8.793662748,1.0
43,Compound 44,108.08086399999999,8.355486827,8.898891387,1.0
44,Compound 45,246.2427063,1.569101679,1.935367436,1.0
45,Compound 46,234.9178619,13.1267477,13.63512273,1.0
46,Compound 47,120.06565859999999,5.894831161,6.290644952,1.0
47,Compound 48,205.0970917,4.6197178480000005,5.0693019360000005,1.0
48,Compound 49,166.122818,7.3753871470000005,7.865116197000001,1.0
49,Compound 50,156.0722198,4.445253801000001,4.948542236000001,1.0
50,Compound 51,170.0925446,5.26735002,5.551487454,1.0
51,Compound 52,169.0357056,5.206352125,5.376749786,1.0
52,Compound 53,124.07573700000002,1.077255577,1.6661437,1.0
53,Compound 54,274.91024780000004,13.09364134,13.64014574,1.0
54,Compound 55,248.23725890000003,0.7282055740000001,0.9786179209999999,1.0
55,Compound 56,283.1752014,0.9411847940000001,1.120114088,1.0
56,Compound 57,132.0658875,6.119187468,6.366940114,1.0
57,Compound 58,265.1180725,1.7837941830000001,1.883677159,1.0
58,Compound 59,138.05505369999997,4.245394299,4.711995194,1.0
59,Compound 60,90.05502319,6.14289445,6.540218319,1.0
60,Compound 61,128.9536438,0.5192400420000001,0.628167169,1.0
61,Compound 62,70.06521606,4.972062725,5.353042628,1.0
62,Compound 63,246.1523438,0.6301379229999999,0.876878371,1.0
63,Compound 64,94.06524658,0.995423059,1.2170286190000001,1.0
64,Compound 65,520.3396606000001,0.7433286029999999,1.240784759,1.0
65,Compound 66,104.1070709,8.930516982,9.253305241,1.0
66,Compound 67,276.26849369999996,0.652025497,0.955633855,1.0
67,Compound 68,344.2276001,0.887381764,1.124998439,1.0
68,Compound 69,262.2529297,0.7238675529999999,0.965672748,1.0
69,Compound 70,477.1145325,6.525836022000001,6.744878832,1.0
70,Compound 71,606.3788452,0.585472026,1.1370679540000002,1.0
71,Compound 72,340.8821716,13.20781641,13.62984512,1.0
72,Compound 73,585.2712402000001,0.626742237,0.8682933409999999,1.0
73,Compound 74,315.0676575,6.528819102000001,6.9756689320000005,1.0
74,Compound 75,206.19018549999998,4.398285361,5.222808267,1.0
75,Compound 76,648.4254761,0.7491981090000001,0.9420142640000001,1.0
76,Compound 77,126.02207949999999,5.981385598999999,6.350369667000001,1.0
77,Compound 78,146.1177521,2.429599694,2.876944786,1.0
78,Compound 79,146.0813751,4.918493057,5.261327621,1.0
79,Compound 80,125.07608799999998,5.915522706,6.289531167000001,1.0
80,Compound 81,150.0585022,4.505905182,4.970487307,1.0
81,Compound 82,262.23764040000003,0.906809967,1.144287373,1.0
