,Unnamed: 0,Unnamed: 0.1,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity,Ion type
0,0,4,Compound 5,162.11253359999995,5.335723125,5.680649606,1,103.04,16.39756437847728,5217794.312504633,Quant
1,1,4,Compound 5,162.11253359999995,5.335723125,5.680649606,1,60.08,16.39756437847728,4085165.3700097855,Qual 1
2,2,4,Compound 5,162.11253359999995,5.335723125,5.680649606,1,85.03,16.39756437847728,2510911.873240394,Qual 2
3,3,4,Compound 5,162.11253359999995,5.335723125,5.680649606,1,102.09,16.39756437847728,1756255.2523794337,Qual 3
4,4,4,Compound 5,162.11253359999995,5.335723125,5.680649606,1,58.07,36.80419873027702,1659919.082344899,Qual 4
5,5,5,Compound 6,331.0451355,6.509541365,6.979477145,1,287.06,16.823768914152698,5382863.060272919,Quant
6,6,5,Compound 6,331.0451355,6.509541365,6.979477145,1,225.05,20.905095784512643,2582381.4959389414,Qual 1
7,7,5,Compound 6,331.0451355,6.509541365,6.979477145,1,243.07,18.86443234933267,2001945.0901875747,Qual 2
8,8,5,Compound 6,331.0451355,6.509541365,6.979477145,1,269.04,18.86443234933267,1564990.3028599876,Qual 3
9,9,5,Compound 6,331.0451355,6.509541365,6.979477145,1,225.06,24.986422654872587,1263972.4161682983,Qual 4
10,10,516,Compound 517,198.1965485,5.159149514,5.610273524,1,73.08,17.36037338389282,28164.21693207148,Quant
11,11,516,Compound 517,198.1965485,5.159149514,5.610273524,1,126.13,19.401036819072797,9116.645254816609,Qual 1
12,12,516,Compound 517,198.1965485,5.159149514,5.610273524,1,153.1,15.319709948712847,8733.96066462543,Qual 2
13,13,516,Compound 517,198.1965485,5.159149514,5.610273524,1,82.06,25.523027124612717,7953.776652798981,Qual 3
14,14,516,Compound 517,198.1965485,5.159149514,5.610273524,1,173.47,19.401036819072797,7067.306414453395,Qual 4
15,15,7,Compound 8,118.08625790000002,3.92679922,4.309833881,1,58.07,23.38549033914443,5034046.1480397815,Quant
16,16,7,Compound 8,118.08625790000002,3.92679922,4.309833881,1,59.07,15.22283659842454,2270311.0292886323,Qual 1
17,17,7,Compound 8,118.08625790000002,3.92679922,4.309833881,1,100.11,11.141509728064593,211110.3816983981,Qual 2
18,18,7,Compound 8,118.08625790000002,3.92679922,4.309833881,1,85.09,19.304163468784484,80865.1810680999,Qual 3
19,19,7,Compound 8,118.08625790000002,3.92679922,4.309833881,1,70.06,27.46681720950438,74555.29942609687,Qual 4
20,20,8,Compound 9,132.0767975,6.188740806,6.491012262999999,1,90.05,11.514811245504733,2509984.962777066,Quant
21,21,8,Compound 9,132.0767975,6.188740806,6.491012262999999,1,86.06,13.555474680684705,615362.8583439868,Qual 1
22,22,8,Compound 9,132.0767975,6.188740806,6.491012262999999,1,68.05,23.75879185658457,483445.2986640769,Qual 2
23,23,8,Compound 9,132.0767975,6.188740806,6.491012262999999,1,87.06,13.555474680684705,120004.62919792833,Qual 3
24,24,8,Compound 9,132.0767975,6.188740806,6.491012262999999,1,58.07,23.75879185658457,107346.69413775457,Qual 4
25,25,517,Compound 518,232.84182740000003,13.50811683,13.91821408,1,176.88,10.122139683805736,10561.0645454874,Quant
26,26,517,Compound 518,232.84182740000003,13.50811683,13.91821408,1,173.47,14.203466554165685,4435.871273411003,Qual 1
27,27,517,Compound 518,232.84182740000003,13.50811683,13.91821408,1,173.48,22.36612029488558,3674.853270699401,Qual 2
28,28,517,Compound 518,232.84182740000003,13.50811683,13.91821408,1,173.46,30.52877403560548,3180.8610892821907,Qual 3
30,30,11,Compound 12,293.0979918999999,6.5497257000000015,6.978869258,1,160.06,15.811247117752574,7706393.965218803,Quant
31,31,11,Compound 12,293.0979918999999,6.5497257000000015,6.978869258,1,132.07,21.9332374232925,5121771.861103862,Qual 1
32,32,11,Compound 12,293.0979918999999,6.5497257000000015,6.978869258,1,86.06,32.136554599192365,1746175.5392533292,Qual 2
33,33,11,Compound 12,293.0979918999999,6.5497257000000015,6.978869258,1,74.06,32.136554599192365,1300115.3415327729,Qual 3
34,34,11,Compound 12,293.0979918999999,6.5497257000000015,6.978869258,1,114.05,23.973900858472465,945932.4203987884,Qual 4
35,35,13,Compound 14,218.2114563,1.677139226,1.918242464,1,88.08,19.935083086535172,739244.2440587723,Quant
36,36,13,Compound 14,218.2114563,1.677139226,1.918242464,1,70.06,21.97574652171514,605383.3416997966,Qual 1
37,37,13,Compound 14,218.2114563,1.677139226,1.918242464,1,70.07,26.05707339207509,556677.488633892,Qual 2
38,38,13,Compound 14,218.2114563,1.677139226,1.918242464,1,106.09,19.935083086535172,382085.9190866626,Qual 3
39,39,13,Compound 14,218.2114563,1.677139226,1.918242464,1,57.07,21.97574652171514,347121.85911239864,Qual 4
40,40,525,Compound 526,346.0092468,6.0288918439999994,6.378279,1,302.02,13.141720814672551,13654.790663655269,Quant
41,41,525,Compound 526,346.0092468,6.0288918439999994,6.378279,1,258.03,17.223047685032494,12620.675943778344,Qual 1
42,42,525,Compound 526,346.0092468,6.0288918439999994,6.378279,1,112.1,21.304374555392442,9403.964502349236,Qual 2
43,43,525,Compound 526,346.0092468,6.0288918439999994,6.378279,1,173.47,23.345037990572425,6913.1793784492675,Qual 3
44,44,525,Compound 526,346.0092468,6.0288918439999994,6.378279,1,173.48,13.141720814672551,5171.913617393378,Qual 4
45,45,15,Compound 16,116.07074740000002,4.937812514,5.386475582999999,1,70.06,15.16905789155704,8009296.837099941,Quant
46,46,15,Compound 16,116.07074740000002,4.937812514,5.386475582999999,1,70.07,35.575692243356784,1706127.4416953758,Qual 1
47,47,15,Compound 16,116.07074740000002,4.937812514,5.386475582999999,1,68.05,27.413038502636887,178468.53376239707,Qual 2
48,48,15,Compound 16,116.07074740000002,4.937812514,5.386475582999999,1,70.08,15.16905789155704,49225.046662878456,Qual 3
49,49,15,Compound 16,116.07074740000002,4.937812514,5.386475582999999,1,53.04,35.575692243356784,38452.390512292004,Qual 4
50,50,17,Compound 18,114.06627659999998,2.6293281580000003,3.194414606,1,86.07,11.034246880292013,285001.49958981737,Quant
51,51,17,Compound 18,114.06627659999998,2.6293281580000003,3.194414606,1,72.04,15.11557375065196,110104.61994755406,Qual 1
52,52,17,Compound 18,114.06627659999998,2.6293281580000003,3.194414606,1,60.04,15.11557375065196,8300.91271153197,Qual 2
53,53,17,Compound 18,114.06627659999998,2.6293281580000003,3.194414606,1,53.66,31.44088123209175,4848.43952641821,Qual 3
54,54,17,Compound 18,114.06627659999998,2.6293281580000003,3.194414606,1,93.74,11.034246880292013,3985.1100076196167,Qual 4
55,55,530,Compound 531,284.2944641,1.676171355,1.903130478,1,226.25,15.576347651361273,17796.289370813058,Quant
56,56,530,Compound 531,284.2944641,1.676171355,1.903130478,1,173.47,21.69833795690119,4626.053712723697,Qual 1
57,57,530,Compound 531,284.2944641,1.676171355,1.903130478,1,173.48,35.982982003161005,3264.4686043621336,Qual 2
65,65,531,Compound 532,370.99978639999995,7.1884567760000015,7.348170047999999,1,255.03,19.930519307820038,8065.034944440935,Quant
66,66,531,Compound 532,370.99978639999995,7.1884567760000015,7.348170047999999,1,173.47,24.01184617817999,6958.234683564374,Qual 1
67,67,531,Compound 532,370.99978639999995,7.1884567760000015,7.348170047999999,1,281.0,21.97118274300001,5309.25227694146,Qual 2
68,68,531,Compound 532,370.99978639999995,7.1884567760000015,7.348170047999999,1,173.46,42.37781709479976,5223.2772763314915,Qual 3
69,69,531,Compound 532,370.99978639999995,7.1884567760000015,7.348170047999999,1,225.01,26.052509613359966,5195.257312797481,Qual 4
70,70,21,Compound 22,128.953598,12.89764742,13.80321264,1,62.98,15.512803580817993,787952.2446608847,Quant
71,71,21,Compound 22,128.953598,12.89764742,13.80321264,1,61.97,27.756784191897825,461778.6591001886,Qual 1
72,72,21,Compound 22,128.953598,12.89764742,13.80321264,1,62.99,15.512803580817993,19803.86840219065,Qual 2
73,73,21,Compound 22,128.953598,12.89764742,13.80321264,1,61.98,27.756784191897825,9542.769727298066,Qual 3
74,74,21,Compound 22,128.953598,12.89764742,13.80321264,1,102.48,13.472140145638015,3857.243703314247,Qual 4
75,75,532,Compound 533,111.05538940000001,4.684166251000001,5.352919493,1,60.06,6.872582239357362,37124.238704446056,Quant
76,76,532,Compound 533,111.05538940000001,4.684166251000001,5.352919493,1,65.01,15.03523598007726,34745.18271481017,Qual 1
77,77,532,Compound 533,111.05538940000001,4.684166251000001,5.352919493,1,55.39,15.03523598007726,12299.164196206963,Qual 2
78,78,532,Compound 533,111.05538940000001,4.684166251000001,5.352919493,1,61.63,19.1165628504372,10290.167073591938,Qual 3
79,79,532,Compound 533,111.05538940000001,4.684166251000001,5.352919493,1,91.07,31.360543461517054,10143.979695020107,Qual 4
80,80,534,Compound 535,358.2071838,1.5178837530000002,1.8235360569999999,1,341.18,13.46719134847092,39721.6912161284,Quant
81,81,534,Compound 535,358.2071838,1.5178837530000002,1.8235360569999999,1,103.04,21.629845089190813,16629.289412737216,Qual 1
82,82,534,Compound 535,358.2071838,1.5178837530000002,1.8235360569999999,1,173.47,13.46719134847092,14456.878965943459,Qual 2
83,83,534,Compound 535,358.2071838,1.5178837530000002,1.8235360569999999,1,89.06,23.67050852437079,12279.28588273585,Qual 3
