Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training
6-PGA,275.0173364,8.53,8.92,-1,96.97,15.74,64,0
6-PGA,275.0173364,8.53,8.92,-1,257.196,11.7,64,0
6-PGA,275.0173364,8.53,8.92,-1,79.042,35.12,64,0
6-PGA,275.0173364,8.53,8.92,-1,177.071,14.86,64,0
Acetoacetyl-CoA,850.12904,6.1,6.57,-1,766.167,28.55,149,0
Acetoacetyl-CoA,850.12904,6.1,6.57,-1,686.321,41.1,149,0
Acetoacetyl-CoA,850.12904,6.1,6.57,-1,408.071,40.21,149,0
Acetoacetyl-CoA,850.12904,6.1,6.57,-1,419.054,41.56,149,0
Acetoacetyl-CoA,850.12904,6.1,6.57,-1,425.887,36.97,149,0
Acetyl-CoA,808.11847,6.02,6.43,-1,461.167,34.74,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,426.167,33.26,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,408.113,35.24,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,510.167,37.1,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,728.25,34.49,168,1
Adenine,134.0472,2.18,3.22,-1,107.054,17.17,63,1
Adenine,134.0472,2.18,3.22,-1,92.042,19.2,63,1
Adenine,134.0472,2.18,3.22,-1,65.196,28.08,63,1
ADP,426.02211,6.96,7.77,-1,328.125,16.04,103,1
ADP,426.02211,6.96,7.77,-1,408.185,18.69,103,1
ADP,426.02211,6.96,7.77,-1,159.03,25.6,103,1
ADP,426.02211,6.96,7.77,-1,273.042,23.79,103,1
ADP,426.02211,6.96,7.77,-1,134.125,22.78,103,1
AKG,145.01422,6.84,7.28,-1,101.042,7.02,30,0
AKG,145.01422,6.84,7.28,-1,57.054,11.32,30,0
AKG,145.01422,6.84,7.28,-1,83.071,11.66,30,0
AKG,145.01422,6.84,7.28,-1,73.095,14.6,30,0
Asparagine,131.04619,6.4,6.86,-1,114.125,11.61,36,0
Asparagine,131.04619,6.4,6.86,-1,95.125,11.99,36,0
Asparagine,131.04619,6.4,6.86,-1,42.054,20.46,36,0
Aspartate,132.03021,6.45,6.95,-1,88.125,11.91,40,0
Aspartate,132.03021,6.45,6.95,-1,115.024,11.11,40,0
Aspartate,132.03021,6.45,6.95,-1,71.095,14.81,40,0
ATP,505.98845,7.98,8.51,-1,408.054,19.83,124,1
ATP,505.98845,7.98,8.51,-1,159.042,30.53,124,1
ATP,505.98845,7.98,8.51,-1,426.071,24.97,124,1
ATP,505.98845,7.98,8.51,-1,273.042,28.25,124,1
ATP,505.98845,7.98,8.51,-1,176.958,22.9,124,1
Chelidamate,182.0095,6.46,6.95,-1,138.125,11.66,43,0
Chelidamate,182.0095,6.46,6.95,-1,93.845,17.59,43,0
Chelidamate,182.0095,6.46,6.95,-1,66.196,27.41,43,0
Chelidamate,182.0095,6.46,6.95,-1,68.054,28.55,43,0
Chelidamate,182.0095,6.46,6.95,-1,40.869,25.77,43,0
cis-Aconitate,173.00914,8.05,9.74,-1,84.786,11.7,30,0
cis-Aconitate,173.00914,8.05,9.74,-1,128.911,7.86,30,0
cis-Aconitate,173.00914,8.05,9.74,-1,111.042,7.27,30,0
cis-Aconitate,173.00914,8.05,9.74,-1,40.887,17.3,30,0
Citrate,191.0197,8.85,9.32,-1,87.042,16.79,43,1
Citrate,191.0197,8.85,9.32,-1,85.196,15.61,43,1
Citrate,191.0197,8.85,9.32,-1,111.054,12.08,43,1
CMP-sialic-acid,613.1399675,7,7.4,-1,321.732,19.45,82,0
CMP-sialic-acid,613.1399675,7,7.4,-1,97.042,39.12,82,0
CMP-sialic-acid,613.1399675,7,7.4,-1,78.97,54.24,82,0
CMP-sialic-acid,613.1399675,7,7.4,-1,569.065,18.44,82,0
CMP-sialic-acid,613.1399675,7,7.4,-1,211.167,35.03,82,0
cGMP,344.04013,5.17,5.58,-1,150.125,22.9,97,0
cGMP,344.04013,5.17,5.58,-1,133.113,34.53,97,0
cGMP,344.04013,5.17,5.58,-1,79.042,31.83,97,0
DHAP,168.9907,6.65,7.23,-1,97.042,8.33,31,0
DHAP,168.9907,6.65,7.23,-1,78.905,28.42,31,0
FBP,338.98875,8.9,9.33,-1,241.125,13.38,72,0
FBP,338.98875,8.9,9.33,-1,96.988,19.57,72,0
FBP,338.98875,8.9,9.33,-1,79.113,38.82,72,0
FBP,338.98875,8.9,9.33,-1,176.958,17.43,72,0
FBP,338.98875,8.9,9.33,-1,158.958,27.16,72,0
F6P,259.02242,7.21,8.25,-1,97.024,13.85,54,0
F6P,259.02242,7.21,8.25,-1,79.02,37.52,54,0
