,Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training,HRMS_CE,Converted_CE
0,6-PGA,275.0173364,8.53,8.92,-1,96.97,15.74,64,0,20.0,15.328811391366267
1,6-PGA,275.0173364,8.53,8.92,-1,257.196,11.7,64,0,10.0,11.24748452100632
2,6-PGA,275.0173364,8.53,8.92,-1,79.042,35.12,64,0,70.0,35.735445743166004
3,6-PGA,275.0173364,8.53,8.92,-1,177.071,14.86,64,0,20.0,15.328811391366267
4,Acetoacetyl-CoA,850.12904,6.1,6.57,-1,766.1669999999998,28.55,149,0,20.0,30.674186036634786
5,Acetoacetyl-CoA,850.12904,6.1,6.57,-1,686.321,41.1,149,0,30.0,34.75551290699473
6,Acetoacetyl-CoA,850.12904,6.1,6.57,-1,408.071,40.21,149,0,30.0,34.75551290699473
7,Acetoacetyl-CoA,850.12904,6.1,6.57,-1,419.054,41.56,149,0,30.0,34.75551290699473
8,Acetoacetyl-CoA,850.12904,6.1,6.57,-1,425.887,36.97,149,0,30.0,34.75551290699473
9,Acetyl-CoA,808.11847,6.02,6.43,-1,461.167,34.74,168,1,30.0,33.63456904221876
10,Acetyl-CoA,808.11847,6.02,6.43,-1,426.167,33.26,168,1,25.0,31.59390560703879
11,Acetyl-CoA,808.11847,6.02,6.43,-1,408.11300000000006,35.24,168,1,30.0,33.63456904221876
12,Acetyl-CoA,808.11847,6.02,6.43,-1,510.167,37.1,168,1,30.0,33.63456904221876
13,Acetyl-CoA,808.11847,6.02,6.43,-1,728.25,34.49,168,1,30.0,33.63456904221876
14,Adenine,134.0472,2.18,3.22,-1,107.054,17.17,63,1,30.0,15.648713231925093
15,Adenine,134.0472,2.18,3.22,-1,92.042,19.2,63,1,40.0,19.73004010228504
16,Adenine,134.0472,2.18,3.22,-1,65.196,28.08,63,1,60.0,27.89269384300494
17,ADP,426.02211,6.96,7.77,-1,328.125,16.04,103,1,20.0,19.35798487125014
18,ADP,426.02211,6.96,7.77,-1,408.185,18.69,103,1,25.0,21.398648306430115
19,ADP,426.02211,6.96,7.77,-1,159.03,25.6,103,1,35.0,25.47997517679006
20,ADP,426.02211,6.96,7.77,-1,273.04200000000003,23.79,103,1,35.0,25.47997517679006
21,ADP,426.02211,6.96,7.77,-1,134.125,22.78,103,1,25.0,21.398648306430115
22,AKG,145.01422,6.84,7.28,-1,101.042,7.02,30,0,10.0,7.778686175010618
23,AKG,145.01422,6.84,7.28,-1,57.054,11.32,30,0,20.0,11.860013045370565
24,AKG,145.01422,6.84,7.28,-1,83.071,11.66,30,0,20.0,11.860013045370565
25,AKG,145.01422,6.84,7.28,-1,73.095,14.6,30,0,30.0,15.941339915730511
26,Asparagine,131.04619,6.4,6.86,-1,114.125,11.61,36,0,20.0,11.487312138634314
27,Asparagine,131.04619,6.4,6.86,-1,95.125,11.99,36,0,20.0,11.487312138634314
29,Aspartate,132.03021,6.45,6.95,-1,88.125,11.91,40,0,20.0,11.51356817805051
30,Aspartate,132.03021,6.45,6.95,-1,115.024,11.11,40,0,20.0,11.51356817805051
31,Aspartate,132.03021,6.45,6.95,-1,71.095,14.81,40,0,30.0,15.594895048410457
32,ATP,505.98845,7.98,8.51,-1,408.054,19.83,124,1,25.0,23.532344140873434
