,Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training,HRMS_CE,Converted_CE
0,cAMP,330.0597957,1.78,3.57,136.1,1,24,1,40.0,23.38308700877806
1,cAMP,330.0597957,1.78,3.57,97.1,1,20,1,30.0,18.654227737737454
2,cAMP,330.0597957,1.78,3.57,312.0,1,16,1,25.0,16.28979810221715
3,cAMP,330.0597957,1.78,3.57,119.1,1,40,1,80.0,42.298524092940475
4,cGMP,346.054706,5.17,5.58,152.0,1,20,0,30.0,19.017419555258712
5,cGMP,346.054706,5.17,5.58,135.0,1,40,0,70.0,37.93285663942113
6,cGMP,346.054706,5.17,5.58,110.1,1,40,0,70.0,37.93285663942113
7,6-PGA,277.03191200000003,8.53,8.92,164.1,1,32,0,10.0,7.992420326192011
8,Acetoacetyl-CoA,852.1436160000002,6.1,6.57,345.1,1,36,0,25.0,28.144604914931733
9,Acetoacetyl-CoA,852.1436160000002,6.1,6.57,428.0,1,28,0,20.0,25.78017527941143
10,Acetoacetyl-CoA,852.1436160000002,6.1,6.57,243.1,1,32,0,20.0,25.78017527941143
11,Acetoacetyl-CoA,852.1436160000002,6.1,6.57,769.1,1,20,0,20.0,25.78017527941143
12,Acetyl-CoA,810.133046,6.02,6.43,303.1,1,32,1,30.0,29.55511264734489
13,Acetyl-CoA,810.133046,6.02,6.43,428.0,1,28,1,20.0,24.826253376304287
14,Acetyl-CoA,810.133046,6.02,6.43,201.0,1,32,1,20.0,24.826253376304287
15,Acetyl-CoA,810.133046,6.02,6.43,435.4,1,12,1,60.0,43.74169046046671
16,Adenine,136.061776,2.18,3.22,119.1,1,24,1,40.0,18.97802989693119
17,Adenine,136.061776,2.18,3.22,92.1,1,32,1,60.0,28.4357484390124
18,Adenine,136.061776,2.18,3.22,65.2,1,40,1,80.0,37.89346698109361
19,Adenine,136.061776,2.18,3.22,67.2,1,32,1,60.0,28.4357484390124
20,Adenosine,268.104032,2.12,3.34,136.1,1,16,1,30.0,17.247416070646047
21,Adenosine,268.104032,2.12,3.34,119.1,1,40,1,80.0,40.89171242584907
22,Adenosine,268.104032,2.12,3.34,57.2,1,32,1,50.0,26.705134612727257
23,Adenosine,268.104032,2.12,3.34,55.2,1,36,1,80.0,40.89171242584907
24,ADP,428.036686,6.96,7.77,136.1,1,28,1,35.0,23.24339037867748
25,ADP,428.036686,6.96,7.77,348.0,1,16,1,20.0,16.15010147211657
26,Asparagine,133.060766,6.4,6.86,74.2,1,16,0,30.0,14.181027556885729
27,Asparagine,133.060766,6.4,6.86,87.2,1,8,0,10.0,4.723309014804517
30,ATP,508.003026,7.98,8.51,136.1,1,40,1,50.0,32.1524519166812
31,ATP,508.003026,7.98,8.51,410.0,1,16,1,20.0,17.96587410355939
33,beta-Alanine,90.054956,6.53,6.99,72.2,1,4,0,10.0,3.7467884839032677
36,Chelidamate,184.024076,6.46,6.95,138.0,1,16,0,25.0,12.973807110953645
37,Chelidamate,184.024076,6.46,6.95,166.0,1,8,0,25.0,12.973807110953645
38,Chelidamate,184.024076,6.46,6.95,69.2,1,40,0,70.0,34.253673830636366
39,Chelidamate,184.024076,6.46,6.95,110.1,1,24,0,40.0,20.06709601751455
40,CMP-sialic-acid,615.1545434999998,7.0,7.4,112.1,1,32,0,30.0,25.12779199519043
41,CMP-sialic-acid,615.1545434999998,7.0,7.4,324.0,1,8,0,10.0,15.670073453109223
42,Cystine,241.031126,6.95,7.43,74.2,1,24,0,50.0,26.090397940166977
43,Cystine,241.031126,6.95,7.43,120.0,1,20,0,30.0,16.632679398085767
44,Cystine,241.031126,6.95,7.43,152.0,1,8,0,20.0,11.903820127045163
45,Cystine,241.031126,6.95,7.43,122.0,1,12,0,25.0,14.268249762565466
46,Cytidine,244.092792,4.5,4.98,112.1,1,8,0,20.0,11.973340494357446
47,Cytidine,244.092792,4.5,4.98,95.1,1,40,0,80.0,40.346496120601074
48,Cytidine,244.092792,4.5,4.98,69.2,1,40,0,70.0,35.61763684956047
49,Cytidine,244.092792,4.5,4.98,57.2,1,36,0,60.0,30.888777578519864
50,Dopamine,154.086276,10.66,13.26,137.1,1,8,0,20.0,9.929588480643675
51,Dopamine,154.086276,10.66,13.26,91.2,1,24,0,50.0,24.116166293765488
52,Dopamine,154.086276,10.66,13.26,65.2,1,40,0,70.0,33.5738848358467
53,Dopamine,154.086276,10.66,13.26,119.1,1,16,0,35.0,17.02287738720458
54,GABA,104.070606,6.51,7.03,87.2,1,8,0,10.0,4.06503780833004
57,GABA,104.070606,6.51,7.03,69.2,1,16,0,30.0,13.522756350411248
58,GN6P,260.052976,7.48,8.03,126.1,1,8,0,20.0,12.335743791794737
59,Glutamine,147.076416,6.37,6.72,84.2,1,16,0,30.0,14.499276881312499
60,Glutamine,147.076416,6.37,6.72,130.1,1,8,0,10.0,5.04155833923129
61,Glutamine,147.076416,6.37,6.72,56.2,1,36,0,60.0,28.685854694434312
63,Guanosine,284.098942,5.08,5.48,152.1,1,8,0,25.0,15.246178245834988
64,Guanosine,284.098942,5.08,5.48,135.1,1,40,0,70.0,36.526044965517706
65,Guanosine,284.098942,5.08,5.48,110.1,1,40,0,70.0,36.526044965517706
66,Guanosine,284.098942,5.08,5.48,100.3,1,24,0,25.0,15.246178245834988
67,Histamine,112.0869233,11.17,15.53,95.2,1,12,0,25.0,11.34035092105446
68,Histamine,112.0869233,11.17,15.53,68.2,1,24,0,40.0,18.433639827615366
70,Histamine,112.0869233,11.17,15.53,83.2,1,16,0,30.0,13.704780556574763
71,Homocystine,269.062426,7.06,7.53,136.1,1,4,0,10.0,7.811459504858101
72,Homocystine,269.062426,7.06,7.53,88.1,1,40,0,60.0,31.455755860061124
73,Homocystine,269.062426,7.06,7.53,90.2,1,24,0,40.0,21.998037317979914
74,Homocystine,269.062426,7.06,7.53,134.1,1,12,0,20.0,12.540318775898706
75,Indole-3-acetate,176.0706045,1.32,2.4,130.1,1,12,0,30.0,15.157639561775229
76,Indole-3-acetate,176.0706045,1.32,2.4,103.1,1,36,0,60.0,29.344217374897042
77,Indole-3-acetate,176.0706045,1.32,2.4,77.2,1,40,0,80.0,38.80193591697825
78,Indole-3-acetate,176.0706045,1.32,2.4,128.1,1,36,0,60.0,29.344217374897042
79,N-Acetyl-MN,222.097216,4.5,5.17,84.2,1,20,0,40.0,20.931611832607388
80,N-Acetyl-MN,222.097216,4.5,5.17,126.1,1,8,0,20.0,11.47389329052618
81,N-Acetyl-MN,222.097216,4.5,5.17,138.1,1,12,0,20.0,11.47389329052618
82,N-Acetyl-MN,222.097216,4.5,5.17,204.1,1,4,0,10.0,6.7450340194855745
83,NANA,310.113256,5.17,5.65,274.1,1,4,0,10.0,8.743588868437973
84,NANA,310.113256,5.17,5.65,60.2,1,24,0,35.0,20.565737046039484
85,NANA,310.113256,5.17,5.65,121.1,1,24,0,40.0,22.930166681559786
86,NANA,310.113256,5.17,5.65,59.3,1,4,0,25.0,15.83687777499888
87,NAD,664.116396,6.12,6.54,136.0,1,40,0,50.0,35.697273208343496
88,NAD,664.116396,6.12,6.54,428.0,1,24,0,25.0,23.875125030741987
89,NAD,664.116396,6.12,6.54,232.1,1,24,0,25.0,23.875125030741987
90,NAD,664.116396,6.12,6.54,542.0,1,12,0,10.0,16.78183612418108
91,S-Adenosylmethionine,399.144516,7.54,7.94,250.1,1,12,0,20.0,15.494055296325692
92,S-Adenosylmethionine,399.144516,7.54,7.94,136.1,1,28,0,40.0,24.9517738384069
93,S-Adenosylmethionine,399.144516,7.54,7.94,97.1,1,36,0,40.0,24.9517738384069
94,S-Adenosylmethionine,399.144516,7.54,7.94,102.1,1,24,0,30.0,20.222914567366296
95,Selenomethionine,198.002772,4.22,4.73,56.2,1,20,0,40.0,20.38450623811561
96,Selenomethionine,198.002772,4.22,4.73,181.0,1,8,0,10.0,6.197928424993796
97,Selenomethionine,198.002772,4.22,4.73,109.0,1,24,0,40.0,20.38450623811561
98,Selenomethionine,198.002772,4.22,4.73,152.0,1,8,0,10.0,6.197928424993796
99,Serotonine,177.102239,11.96,15.04,160.1,1,8,0,20.0,10.452205317949229
100,Serotonine,177.102239,11.96,15.04,115.1,1,32,0,60.0,29.367642402111642
101,Serotonine,177.102239,11.96,15.04,117.1,1,28,0,50.0,24.63878313107104
102,Serotonine,177.102239,11.96,15.04,132.1,1,20,0,40.0,19.909923860030435
103,Succinyl-CoA,868.1385284,7.95,8.26,261.1,1,40,0,35.0,33.23665605117769
104,Succinyl-CoA,868.1385284,7.95,8.26,528.0,1,24,0,20.0,26.143367144616782
105,Succinyl-CoA,868.1385284,7.95,8.26,462.4,1,32,0,25.0,28.507796780137085
106,Tryptophan,205.0971536,4.5,5.02,188.1,1,4,0,10.0,6.35901850297275
107,Tryptophan,205.0971536,4.5,5.02,146.1,1,16,0,30.0,15.81673704505396
108,Tryptophan,205.0971536,4.5,5.02,118.1,1,28,0,50.0,25.27445558713517
109,Tryptophan,205.0971536,4.5,5.02,91.2,1,40,0,80.0,39.46103340025698
110,Uracil,113.034556,1.84,2.53,70.2,1,16,0,35.0,16.090727814651256
111,Uracil,113.034556,1.84,2.53,96.1,1,16,0,25.0,11.361868543610655
113,Uridine,245.076816,2.81,3.67,113.1,1,8,0,20.0,11.995684443672657
114,Uridine,245.076816,2.81,3.67,70.2,1,40,0,70.0,35.639980798875676
115,Uridine,245.076816,2.81,3.67,96.1,1,40,0,70.0,35.639980798875676
116,Uridine,245.076816,2.81,3.67,57.3,1,28,0,50.0,26.18226225679447
117,UDP-N-acetyl-GN,608.0888455,6.9,7.34,204.1,1,12,0,10.0,15.509634685367198
118,UDP-N-acetyl-GN,608.0888455,6.9,7.34,138.1,1,40,0,40.0,29.69621249848901
119,UDP-N-acetyl-GN,608.0888455,6.9,7.34,186.1,1,24,0,25.0,22.602923591928104
120,UDP-N-acetyl-GN,608.0888455,6.9,7.34,168.0,1,28,0,30.0,24.967353227448406
121,cAMP,328.0452437,1.78,3.57,134.0,-1,20,1,35.0,20.972913521704488
122,cAMP,328.0452437,1.78,3.57,79.1,-1,36,1,80.0,42.25278024138721
123,cGMP,344.0401540000001,5.17,5.58,150.1,-1,20,0,35.0,21.336105339225746
124,cGMP,344.0401540000001,5.17,5.58,133.0,-1,40,0,60.0,33.15825351682726
125,cGMP,344.0401540000001,5.17,5.58,79.0,-1,36,0,80.0,42.61597205890847
126,6-PGA,275.0173608,8.53,8.92,79.0,-1,40,0,70.0,36.31983211904774
