,Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training,HRMS_CE,Converted_CE
0,Acetyl-CoA,808.11847,6.02,6.43,-1,461.167,34.74,168,1,30.0,33.59532401230829
1,Acetyl-CoA,808.11847,6.02,6.43,-1,426.167,33.26,168,1,25.0,31.028228826683698
2,Acetyl-CoA,808.11847,6.02,6.43,-1,408.11300000000006,35.24,168,1,30.0,33.59532401230829
3,Acetyl-CoA,808.11847,6.02,6.43,-1,510.167,37.1,168,1,30.0,33.59532401230829
4,Acetyl-CoA,808.11847,6.02,6.43,-1,728.25,34.49,168,1,30.0,33.59532401230829
5,Adenine,134.0472,2.18,3.22,-1,107.054,17.17,63,1,30.0,15.432820473564703
6,Adenine,134.0472,2.18,3.22,-1,92.042,19.2,63,1,40.0,20.567010844813893
7,Adenine,134.0472,2.18,3.22,-1,65.196,28.08,63,1,60.0,30.83539158731227
8,ADP,426.02211,6.96,7.77,-1,328.125,16.04,103,1,20.0,18.165743821758475
9,ADP,426.02211,6.96,7.77,-1,408.185,18.69,103,1,25.0,20.73283900738307
10,ADP,426.02211,6.96,7.77,-1,159.03,25.6,103,1,35.0,25.86702937863226
11,ADP,426.02211,6.96,7.77,-1,273.04200000000003,23.79,103,1,35.0,25.86702937863226
12,ADP,426.02211,6.96,7.77,-1,134.125,22.78,103,1,25.0,20.73283900738307
13,ATP,505.98845,7.98,8.51,-1,408.054,19.83,124,1,25.0,22.88749089342232
14,ATP,505.98845,7.98,8.51,-1,159.042,30.53,124,1,40.0,30.588776450296105
15,ATP,505.98845,7.98,8.51,-1,426.071,24.97,124,1,30.0,25.454586079046916
16,ATP,505.98845,7.98,8.51,-1,273.04200000000003,28.25,124,1,40.0,30.588776450296105
17,ATP,505.98845,7.98,8.51,-1,176.958,22.9,124,1,30.0,25.454586079046916
18,Citrate,191.0197,8.85,9.32,-1,87.042,16.79,43,1,25.0,14.400819986251562
19,Citrate,191.0197,8.85,9.32,-1,85.196,15.61,43,1,25.0,14.400819986251562
20,Citrate,191.0197,8.85,9.32,-1,111.054,12.08,43,1,20.0,11.833724800626968
21,G6P,259.02242,7.28,8.25,-1,97.042,14.98,54,1,20.0,13.666023101434522
22,G6P,259.02242,7.28,8.25,-1,199.071,9.84,54,1,10.0,8.531832730185332
23,G6P,259.02242,7.28,8.25,-1,79.042,35.67,54,1,80.0,44.47116532892966
24,G6P,259.02242,7.28,8.25,-1,169.042,9.89,54,1,10.0,8.531832730185332
25,G6P,259.02242,7.28,8.25,-1,139.042,14.1,54,1,20.0,13.666023101434522
28,Lactate,89.0244,1.49,2.51,-1,71.083,9.3,33,1,20.0,9.085513921998043
30,Lactate,89.0244,1.49,2.51,-1,87.054,8.29,33,1,20.0,9.085513921998043
31,Acetyl-CoA,810.13307,6.02,6.43,1,303.101,31.58,125,1,30.0,33.64960637273162
32,Acetyl-CoA,810.13307,6.02,6.43,1,428.196,26.9,125,1,20.0,28.515416001482432
33,Acetyl-CoA,810.13307,6.02,6.43,1,410.125,24.25,125,1,20.0,28.515416001482432
34,Acetyl-CoA,810.13307,6.02,6.43,1,136.125,48.09,125,1,40.0,38.78379674398081
35,Acetyl-CoA,810.13307,6.02,6.43,1,401.208,22.61,125,1,20.0,28.515416001482432
36,Adenosine,268.10405640000005,2.12,3.34,1,136.125,19.57,62,1,30.0,19.044913492686913
37,Adenosine,268.10405640000005,2.12,3.34,1,119.054,47.38,62,1,80.0,44.71586534893286
38,Adenosine,268.10405640000005,2.12,3.34,1,92.125,53.99,62,1,80.0,44.71586534893286
39,ADP,428.03671,6.96,7.77,1,136.054,27.03,76,1,35.0,25.921311739055593
40,ADP,428.03671,6.96,7.77,1,348.25,18.56,76,1,20.0,18.220026182181808
41,ADP,428.03671,6.96,7.77,1,119.042,55.0,76,1,80.0,49.025168409676944
42,ADP,428.03671,6.96,7.77,1,97.054,37.01,76,1,60.0,38.756787667178564
43,ADP,428.03671,6.96,7.77,1,232.125,27.96,76,1,40.0,28.488406924680188
44,ATP,508.00305,7.98,8.51,1,410.054,18.69,97,1,20.0,20.37467806822106
45,ATP,508.00305,7.98,8.51,1,136.25,33.26,97,1,50.0,35.77724918196862
46,ATP,508.00305,7.98,8.51,1,348.0540000000001,17.76,97,1,20.0,20.37467806822106
47,ATP,508.00305,7.98,8.51,1,428.054,21.26,97,1,20.0,20.37467806822106
48,ATP,508.00305,7.98,8.51,1,330.0540000000001,28.88,97,1,35.0,28.075963625094843
49,cAMP,330.0598197,1.78,3.57,1,136.125,26.61,100,1,40.0,25.848470027816383
50,cAMP,330.0598197,1.78,3.57,1,119.167,53.36,100,1,80.0,46.38523151281314
51,G6P,261.03702000000004,7.28,8.25,1,243.042,7.36,40,1,50.0,29.12287657560542
52,G6P,261.03702000000004,7.28,8.25,1,127.042,15.28,40,1,20.0,13.720305461857855
53,G6P,261.03702000000004,7.28,8.25,1,99.113,16.5,40,1,10.0,8.586115090608665
54,G6P,261.03702000000004,7.28,8.25,1,225.0,9.55,40,1,10.0,8.586115090608665
55,G6P,261.03702000000004,7.28,8.25,1,109.054,19.49,40,1,30.0,18.854495833107045
56,Phenylalanine,166.08628000000004,3.22,3.98,1,120.125,14.39,36,1,20.0,11.161906627775632
57,Phenylalanine,166.08628000000004,3.22,3.98,1,103.125,28.04,36,1,50.0,26.564477741523202
58,Phenylalanine,166.08628000000004,3.22,3.98,1,77.196,39.33,36,1,80.0,41.96704885527077
