,Name,mz,rt_start,rt_end,Product mz,Charge,CE,Training,HRMS_CE,Converted_CE
0,cAMP,330.0597957,1.78,3.57,136.1,1,24,1,40.0,24.265653907071027
1,cAMP,330.0597957,1.78,3.57,97.1,1,20,1,30.0,20.06946441397753
2,cAMP,330.0597957,1.78,3.57,312.0,1,16,1,25.0,17.971369667430785
3,cAMP,330.0597957,1.78,3.57,119.1,1,40,1,80.0,41.05041187944501
4,Acetyl-CoA,810.133046,6.02,6.43,303.1,1,32,1,30.0,26.53071931611763
5,Acetyl-CoA,810.133046,6.02,6.43,428.0,1,28,1,20.0,22.334529823024134
6,Acetyl-CoA,810.133046,6.02,6.43,201.0,1,32,1,20.0,22.334529823024134
7,Acetyl-CoA,810.133046,6.02,6.43,435.4,1,12,1,60.0,39.119287795398115
8,Adenine,136.061776,2.18,3.22,119.1,1,24,1,40.0,21.65465515842424
9,Adenine,136.061776,2.18,3.22,92.1,1,32,1,60.0,30.047034144611228
10,Adenine,136.061776,2.18,3.22,65.2,1,40,1,80.0,38.439413130798215
11,Adenine,136.061776,2.18,3.22,67.2,1,32,1,60.0,30.047034144611228
12,Adenosine,268.104032,2.12,3.34,136.1,1,16,1,30.0,19.235608368733807
13,Adenosine,268.104032,2.12,3.34,119.1,1,40,1,80.0,40.21655583420128
14,Adenosine,268.104032,2.12,3.34,57.2,1,32,1,50.0,27.627987354920798
15,Adenosine,268.104032,2.12,3.34,55.2,1,36,1,80.0,40.21655583420128
16,ADP,428.036686,6.96,7.77,136.1,1,28,1,35.0,23.486219723993955
17,ADP,428.036686,6.96,7.77,348.0,1,16,1,20.0,17.191935484353714
18,ATP,508.003026,7.98,8.51,136.1,1,40,1,50.0,30.85676244295652
19,ATP,508.003026,7.98,8.51,410.0,1,16,1,20.0,18.268193963676033
21,cAMP,328.0452437,1.78,3.57,134.0,-1,20,1,35.0,22.140445519059185
22,cAMP,328.0452437,1.78,3.57,79.1,-1,36,1,80.0,41.02329823797991
24,Adenine,134.047224,2.18,3.22,107.1,-1,16,1,30.0,17.43135202386565
25,Adenine,134.047224,2.18,3.22,92.1,-1,20,1,40.0,21.627541516959145
26,Adenine,134.047224,2.18,3.22,65.2,-1,36,1,60.0,30.019920503146135
27,Adenosine,266.08948080000005,2.12,3.34,134.1,-1,8,1,30.0,19.20849473803583
28,Adenosine,266.08948080000005,2.12,3.34,107.0,-1,40,1,60.0,31.797063217316314
29,ADP,426.022134,6.96,7.77,79.0,-1,36,1,70.0,38.145769308356094
30,ADP,426.022134,6.96,7.77,134.0,-1,24,1,25.0,19.26291658943537
31,ADP,426.022134,6.96,7.77,328.0,-1,8,1,20.0,17.16482184288862
32,ADP,426.022134,6.96,7.77,158.9,-1,28,1,35.0,23.459106082528862
33,ATP,505.988474,7.98,8.51,158.9,-1,40,1,40.0,26.63345930839793
34,Citrate,191.019724,8.85,9.32,111.0,-1,8,1,20.0,14.001949358995018
35,Citrate,191.019724,8.85,9.32,87.1,-1,16,1,25.0,16.100044105541766
36,Citrate,191.019724,8.85,9.32,85.1,-1,16,1,25.0,16.100044105541766
37,Citrate,191.019724,8.85,9.32,67.1,-1,24,1,50.0,26.590517838275503
38,G6P,259.022444,7.28,8.25,97.1,-1,12,1,20.0,14.9171907470213
39,Phenylalanine,166.086256,3.22,3.98,120.1,1,8,1,20.0,13.666372460591118
40,Phenylalanine,166.086256,3.22,3.98,103.1,1,28,1,50.0,26.254940939871602
41,Phenylalanine,166.086256,3.22,3.98,77.2,1,40,1,80.0,38.843509419152085
42,Phenylalanine,166.086256,3.22,3.98,91.1,1,40,1,70.0,34.647319926058586
