,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
0,6-PGA,8.53,8.92,275.0173364,-1,78.96,46.8693472651391,203083.0049111689
1,6-PGA,8.53,8.92,275.0173364,-1,96.97,14.168279325463823,147358.93636555923
2,6-PGA,8.53,8.92,275.0173364,-1,177.04,14.168279325463823,25411.467132574497
3,6-PGA,8.53,8.92,275.0173364,-1,257.01,14.168279325463823,17401.863441176298
4,6-PGA,8.53,8.92,275.0173364,-1,99.01,19.6184573154097,16995.60490774601
5,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,766.11,30.323644583811102,1504169.9758305503
6,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,408.01,35.77382257375698,739867.2815146169
7,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,158.93,46.67417855364874,561613.2231445445
8,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,426.02,33.04873357878404,443146.3080219147
9,Acetoacetyl-CoA,6.1,6.57,850.12904,-1,419.04,35.77382257375698,391519.91947711783
10,Acetyl-CoA,6.02,6.43,808.11847,-1,408.01,34.593710781886,456871.54010996973
11,Acetyl-CoA,6.02,6.43,808.11847,-1,158.93,45.49406676177776,340172.4750667166
12,Acetyl-CoA,6.02,6.43,808.11847,-1,426.02,31.86862178691306,325290.7588230396
13,Acetyl-CoA,6.02,6.43,808.11847,-1,461.06,31.86862178691306,294859.6966962045
14,Acetyl-CoA,6.02,6.43,808.11847,-1,728.15,34.593710781886,195818.0692515414
15,Adenine,2.18,3.22,134.0472,-1,107.04,15.658489139131683,2447281.6101876637
16,Adenine,2.18,3.22,134.0472,-1,92.03,21.108667129077567,837802.0306903602
17,Adenine,2.18,3.22,134.0472,-1,65.01,32.00902310896932,628279.0994883233
18,Adenine,2.18,3.22,134.0472,-1,64.01,42.90937908886108,226003.7958525666
19,Adenine,2.18,3.22,134.0472,-1,68.03,26.558845119023445,136195.09843725697
20,ADP,6.96,7.77,426.02211,-1,78.96,51.11119673193203,770351.5321871708
21,ADP,6.96,7.77,426.02211,-1,158.93,23.860306782202635,330343.2607136693
22,ADP,6.96,7.77,426.02211,-1,134.05,23.860306782202635,279099.8977203281
23,ADP,6.96,7.77,426.02211,-1,328.05,21.1352177872297,136981.4439072486
24,ADP,6.96,7.77,426.02211,-1,408.01,21.1352177872297,122894.97489769931
25,AKG,6.84,7.28,145.01422,-1,101.02,5.066205856746407,49566.838342248666
26,AKG,6.84,7.28,145.01422,-1,129.02,5.066205856746407,25778.640622872525
27,AKG,6.84,7.28,145.01422,-1,57.03,10.516383846692287,11922.048870381108
28,AKG,6.84,7.28,145.01422,-1,85.03,10.516383846692287,9025.950758455261
29,AKG,6.84,7.28,145.01422,-1,87.01,10.516383846692287,5091.389841078132
30,Asparagine,6.4,6.86,131.04619,-1,113.04,4.6738322966588495,84585.6858298435
31,Asparagine,6.4,6.86,131.04619,-1,114.02,10.124010286604728,64355.68502706406
32,Asparagine,6.4,6.86,131.04619,-1,70.03,12.849099281577667,38510.59447601606
33,Asparagine,6.4,6.86,131.04619,-1,72.01,15.574188276550606,17620.1989152245
34,Asparagine,6.4,6.86,131.04619,-1,95.02,10.124010286604728,17293.461967293762
35,Aspartate,6.45,6.95,132.03021,-1,88.04,10.151652225417672,243911.94245588686
36,Aspartate,6.45,6.95,132.03021,-1,115.0,4.701474235471792,62113.424277682054
37,Aspartate,6.45,6.95,132.03021,-1,71.01,12.876741220390612,44327.9235929605
38,Aspartate,6.45,6.95,132.03021,-1,114.02,4.701474235471792,16250.39457447909
39,Aspartate,6.45,6.95,132.03021,-1,72.01,15.60183021536355,8174.5677205787315
40,ATP,7.98,8.51,505.98845,-1,158.93,31.55680565726776,455457.8700024061
41,ATP,7.98,8.51,505.98845,-1,78.96,53.35751761705127,420158.839443591
42,ATP,7.98,8.51,505.98845,-1,408.01,23.38153867234894,204458.42594629125
43,ATP,7.98,8.51,505.98845,-1,426.02,26.106627667321874,70139.08740043397
44,ATP,7.98,8.51,505.98845,-1,134.05,37.00698364721364,69886.0273216573
45,Chelidamate,6.46,6.95,182.0095,-1,94.03,17.00578996830999,393231.2343477839
46,Chelidamate,6.46,6.95,182.0095,-1,138.02,6.105433988418236,336002.8066075264
47,Chelidamate,6.46,6.95,182.0095,-1,68.01,33.35632393814763,34042.58959496038
48,Chelidamate,6.46,6.95,182.0095,-1,66.03,27.906145948201754,27368.81012018975
49,Chelidamate,6.46,6.95,182.0095,-1,66.0,44.25667991803939,22823.517365882377
50,cis-Aconitate,8.05,9.74,173.00914,-1,85.03,11.302784393137733,132659.8290415319
51,cis-Aconitate,8.05,9.74,173.00914,-1,129.02,5.852606403191853,96180.9974552274
52,cis-Aconitate,8.05,9.74,173.00914,-1,154.95,11.302784393137733,66767.86114166533
53,cis-Aconitate,8.05,9.74,173.00914,-1,76.97,44.00385233281301,30784.67184582835
54,cis-Aconitate,8.05,9.74,173.00914,-1,111.01,5.852606403191853,20208.816653013273
55,Citrate,8.85,9.32,191.0197,-1,111.01,11.808715977360459,1596383.8729469613
56,Citrate,8.85,9.32,191.0197,-1,173.01,6.35853798741458,1040265.3839234504
57,Citrate,8.85,9.32,191.0197,-1,85.03,14.533804972333398,652814.5535687081
58,Citrate,8.85,9.32,191.0197,-1,73.03,22.70907195725222,517600.68868161895
59,Citrate,8.85,9.32,191.0197,-1,117.02,11.808715977360459,353897.5550175457
60,CMP-sialic-acid,7.0,7.4,613.1399675,-1,322.04,23.666424769802006,1595231.3008373983
61,CMP-sialic-acid,7.0,7.4,613.1399675,-1,78.96,56.36749270947728,765310.5819891331
62,CMP-sialic-acid,7.0,7.4,613.1399675,-1,96.97,40.01695873963965,344845.45730769186
63,CMP-sialic-acid,7.0,7.4,613.1399675,-1,138.98,40.01695873963965,60942.410761254265
64,CMP-sialic-acid,7.0,7.4,613.1399675,-1,211.0,34.56678074969376,46490.47247278319
65,DHAP,6.65,7.23,168.9907,-1,78.96,38.440793026833425,11585.11360606084
66,DHAP,6.65,7.23,168.9907,-1,96.97,5.739725087158151,6003.087940984455
67,DHAP,6.65,7.23,168.9907,-1,68.05,11.189903077104029,2903.105674657916
68,DHAP,6.65,7.23,168.9907,-1,150.99,13.914992072076968,2188.5491302255846
69,DHAP,6.65,7.23,168.9907,-1,123.01,11.189903077104029,2049.1805264828904
70,FBP,8.9,9.33,338.98875,-1,78.96,48.666357387401554,312158.0293195389
71,FBP,8.9,9.33,338.98875,-1,96.97,21.415467437672156,258134.98200403483
72,FBP,8.9,9.33,338.98875,-1,241.01,15.965289447726276,52782.06838824015
73,FBP,8.9,9.33,338.98875,-1,176.94,18.69037844269922,26613.395936456065
74,FBP,8.9,9.33,338.98875,-1,158.93,26.865645427618034,25519.2272521683
75,F6P,7.21,8.25,259.02242,-1,78.96,46.42003678319062,999890.5264864175
76,F6P,7.21,8.25,259.02242,-1,96.97,13.71896884351534,777828.0805263658
77,F6P,7.21,8.25,259.02242,-1,138.98,13.71896884351534,85143.5789453052
78,F6P,7.21,8.25,259.02242,-1,168.99,8.268790853569461,71098.28194729063
79,F6P,7.21,8.25,259.02242,-1,199.0,8.268790853569461,57943.29150710952
80,G1P,7.31,8.17,259.02242,-1,78.96,46.42003678319062,997653.8431022031
81,G1P,7.31,8.17,259.02242,-1,96.97,13.71896884351534,777707.6998588174
82,G1P,7.31,8.17,259.02242,-1,138.98,13.71896884351534,85130.40168785267
83,G1P,7.31,8.17,259.02242,-1,168.99,8.268790853569461,71087.27841211796
84,G1P,7.31,8.17,259.02242,-1,199.0,8.268790853569461,57934.32390580248
85,GN6P,7.48,8.03,258.0384,-1,78.96,46.39239484437768,400514.7134561012
86,GN6P,7.48,8.03,258.0384,-1,96.97,19.14150489464828,324385.7764224897
87,GN6P,7.48,8.03,258.0384,-1,199.0,8.24114891475652,88108.28416676138
88,GN6P,7.48,8.03,258.0384,-1,240.03,8.24114891475652,57919.22072532846
89,GN6P,7.48,8.03,258.0384,-1,138.98,19.14150489464828,24448.472019650766
90,G6P,7.28,8.25,259.02242,-1,78.96,46.42003678319062,999760.0134434034
91,G6P,7.28,8.25,259.02242,-1,96.97,13.71896884351534,777726.5527020268
92,G6P,7.28,8.25,259.02242,-1,138.98,13.71896884351534,85132.46538108302
93,G6P,7.28,8.25,259.02242,-1,168.99,8.268790853569461,71089.00167821694
94,G6P,7.28,8.25,259.02242,-1,199.0,8.268790853569461,57935.72832384443
95,G3P,6.8,7.81,168.9907245,-1,78.96,38.44079371505877,13741.871114035795
96,G3P,6.8,7.81,168.9907245,-1,96.97,5.7397257753834925,7120.660493831817
97,G3P,6.8,7.81,168.9907245,-1,68.05,11.18990376532937,3443.5660596978614
98,G3P,6.8,7.81,168.9907245,-1,150.99,13.91499276030231,2595.9831812578236
99,G3P,6.8,7.81,168.9907245,-1,123.01,11.18990376532937,2430.6688429527353
100,Hydroxyglutarate,6.75,7.16,147.0298734,-1,129.02,5.122827234310789,1007518.9243178786
101,Hydroxyglutarate,6.75,7.16,147.0298734,-1,57.03,16.023183214202547,295796.7225668826
102,Hydroxyglutarate,6.75,7.16,147.0298734,-1,85.03,10.573005224256667,269861.1548524063
103,Hydroxyglutarate,6.75,7.16,147.0298734,-1,103.04,10.573005224256667,201038.10816051788
104,Hydroxyglutarate,6.75,7.16,147.0298734,-1,101.02,10.573005224256667,180721.77977350328
105,Isocitrate,8.48,9.76,191.0197,-1,111.01,11.808715977360459,1988898.623125268
106,Isocitrate,8.48,9.76,191.0197,-1,173.01,6.35853798741458,1175954.2608152577
107,Isocitrate,8.48,9.76,191.0197,-1,85.03,14.533804972333398,792315.3779993851
108,Isocitrate,8.48,9.76,191.0197,-1,73.03,19.983982962279278,575632.9432721052
109,Isocitrate,8.48,9.76,191.0197,-1,117.02,11.808715977360459,394535.56491715176
110,Lactate,1.49,2.51,89.0244,-1,71.01,8.943583315618001,8788.698202696482
111,Lactate,1.49,2.51,89.0244,-1,56.06,11.66867231059094,788.1949255073039
112,Lactate,1.49,2.51,89.0244,-1,50.04,36.1944732653474,749.9579932903239
113,Lactate,1.49,2.51,89.0244,-1,66.44,25.29411728545564,744.1232116593927
114,Lactate,1.49,2.51,89.0244,-1,54.84,8.943583315618001,693.5087178423298
115,Malate,7.19,7.76,133.01422,-1,115.0,4.729115893376433,1348398.845164012
116,Malate,7.19,7.76,133.01422,-1,71.01,12.904382878295253,840921.3862040398
117,Malate,7.19,7.76,133.01422,-1,72.99,15.629471873268193,243816.4597161613
118,Malate,7.19,7.76,133.01422,-1,89.02,10.179293883322313,100910.21802750566
119,Malate,7.19,7.76,133.01422,-1,59.01,18.35456086824113,34002.32262414062
120,Mannitol,5.56,5.97,181.0717364,-1,59.01,22.429625400124728,310144.8331474213
121,Mannitol,5.56,5.97,181.0717364,-1,71.01,19.704536405151792,288430.67151835794
122,Mannitol,5.56,5.97,181.0717364,-1,101.02,11.529269420232973,234177.76616506017
123,Mannitol,5.56,5.97,181.0717364,-1,89.02,11.529269420232973,210072.64273440017
124,Mannitol,5.56,5.97,181.0717364,-1,163.06,6.079091430287093,79248.45179629515
125,Oxamate,4.07,4.54,88.00399999999998,-1,51.12,30.715631392182956,13445.518889601937
126,Oxamate,4.07,4.54,88.00399999999998,-1,65.28,41.61598737207471,10165.464466188057
127,Oxamate,4.07,4.54,88.00399999999998,-1,72.09,30.715631392182956,8384.317465825747
128,Oxamate,4.07,4.54,88.00399999999998,-1,56.32,25.26545340223708,7513.781936578928
129,Oxamate,4.07,4.54,88.00399999999998,-1,68.84,3.46474144245356,6645.247111598373
130,PEP,8.44,8.78,166.97507439999995,-1,78.96,19.30854946538355,6275.38332391783
131,PEP,8.44,8.78,166.97507439999995,-1,79.96,19.30854946538355,1750.5218175178816
132,PEP,8.44,8.78,166.97507439999995,-1,57.85,13.85837147543767,126.49656972695504
133,PEP,8.44,8.78,166.97507439999995,-1,119.25,19.30854946538355,110.48126442700354
134,PEP,8.44,8.78,166.97507439999995,-1,95.53,13.85837147543767,107.56429721805677
135,R5P,7.05,7.54,229.0118538,-1,78.96,34.67665908154301,231928.78757532174
136,R5P,7.05,7.54,229.0118538,-1,96.97,12.875947121759493,202098.8359445821
137,R5P,7.05,7.54,229.0118538,-1,138.98,12.875947121759493,39549.89669945884
138,R5P,7.05,7.54,229.0118538,-1,188.94,15.601036116732432,27849.088773554664
139,R5P,7.05,7.54,229.0118538,-1,59.98,45.57701506143477,16093.250448971437
140,Selenomethionine,4.22,4.73,195.9881964,-1,178.9,28.29881913632142,135436.78935754488
141,Selenomethionine,4.22,4.73,195.9881964,-1,177.9,17.398463156429656,121452.5301226434
142,Selenomethionine,4.22,4.73,195.9881964,-1,100.93,44.649353106159055,78155.65806589281
143,Selenomethionine,4.22,4.73,195.9881964,-1,117.93,28.29881913632142,35864.230202892
144,Selenomethionine,4.22,4.73,195.9881964,-1,99.93,44.649353106159055,35719.63482135079
145,Succinate,6.59,7.01,117.01931,-1,73.03,9.729983581155144,409411.0206777611
146,Succinate,6.59,7.01,117.01931,-1,99.93,20.630339561046902,378272.57901322446
147,Succinate,6.59,7.01,117.01931,-1,99.01,4.279805591209264,45671.15105110793
148,Succinate,6.59,7.01,117.01931,-1,83.93,42.43105152083042,28559.993006298988
149,Succinate,6.59,7.01,117.01931,-1,73.02,17.90525056607396,4356.923234320141
150,Trehalose,6.96,7.35,341.10892,-1,89.02,21.475024773308668,250344.6507364214
151,Trehalose,6.96,7.35,341.10892,-1,179.06,16.02484678336279,156066.85380714224
152,Trehalose,6.96,7.35,341.10892,-1,101.02,21.475024773308668,143102.57624835422
153,Trehalose,6.96,7.35,341.10892,-1,71.01,26.925202763254546,142713.26253357477
154,Trehalose,6.96,7.35,341.10892,-1,119.03,21.475024773308668,98055.796788854
155,Uridine,2.81,3.67,243.06224,-1,110.02,13.270634135883826,685599.7821305885
156,Uridine,2.81,3.67,243.06224,-1,200.06,7.820456145937946,544916.0383170103
157,Uridine,2.81,3.67,243.06224,-1,82.03,24.17099011577558,244929.28532130396
158,Uridine,2.81,3.67,243.06224,-1,152.04,13.270634135883826,138127.67059137102
159,Uridine,2.81,3.67,243.06224,-1,153.03,7.820456145937946,95396.40513938342
160,UDP-N-acetyl-GN,6.9,7.34,606.0742695,-1,78.96,56.16901138614368,687543.9845765793
161,UDP-N-acetyl-GN,6.9,7.34,606.0742695,-1,384.98,28.918121436414282,395410.8992976901
162,UDP-N-acetyl-GN,6.9,7.34,606.0742695,-1,158.93,39.81847741630604,320572.55345070787
163,UDP-N-acetyl-GN,6.9,7.34,606.0742695,-1,272.96,34.36829942636016,230007.4850349869
164,UDP-N-acetyl-GN,6.9,7.34,606.0742695,-1,282.04,28.918121436414282,188060.72286519353
