,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
0,cAMP,1.78,3.57,330.0597957,1,136.06,24.265653907071027,5567093.43086657
1,cAMP,1.78,3.57,330.0597957,1,119.03,41.05041187944501,581714.4456064933
2,cAMP,1.78,3.57,330.0597957,1,137.05,41.05041187944501,407753.3363963838
3,cAMP,1.78,3.57,330.0597957,1,119.04,41.05041187944501,305319.2271043682
4,cAMP,1.78,3.57,330.0597957,1,94.04,41.05041187944501,252509.28385216836
5,cGMP,5.17,5.58,346.054706,1,152.06,20.284738213383317,2257024.7891473053
6,cGMP,5.17,5.58,346.054706,1,135.03,37.069496185757295,553136.1169033785
7,cGMP,5.17,5.58,346.054706,1,153.04,41.265685678850794,492692.1501484148
8,cGMP,5.17,5.58,346.054706,1,110.03,41.265685678850794,307089.86947774707
9,cGMP,5.17,5.58,346.054706,1,128.05,41.265685678850794,74353.74108724749
10,Acetoacetyl-CoA,6.1,6.57,852.1436160000002,1,345.15,24.99804037056495,1417690.4271690827
11,Acetoacetyl-CoA,6.1,6.57,852.1436160000002,1,428.04,22.899945624018205,440455.9575151183
12,Acetoacetyl-CoA,6.1,6.57,852.1436160000002,1,243.08,22.899945624018205,319450.3955099737
13,Acetoacetyl-CoA,6.1,6.57,852.1436160000002,1,261.13,29.194229863658446,303422.1431920629
14,Acetoacetyl-CoA,6.1,6.57,852.1436160000002,1,136.06,31.292324610205192,281436.6284367361
15,Acetyl-CoA,6.02,6.43,810.133046,1,303.14,26.53071931611763,893808.4141221239
16,Acetyl-CoA,6.02,6.43,810.133046,1,428.04,22.334529823024134,300896.3028982598
17,Acetyl-CoA,6.02,6.43,810.133046,1,159.06,30.726908809211125,195285.49431218032
18,Acetyl-CoA,6.02,6.43,810.133046,1,136.06,30.726908809211125,180158.46033218823
19,Acetyl-CoA,6.02,6.43,810.133046,1,201.07,22.334529823024134,125928.92750249401
20,Adenine,2.18,3.22,136.061776,1,119.03,25.850844651517733,8103957.102456
21,Adenine,2.18,3.22,136.061776,1,119.04,21.65465515842424,6099204.346215867
22,Adenine,2.18,3.22,136.061776,1,92.02,30.047034144611228,4759605.1763991825
23,Adenine,2.18,3.22,136.061776,1,65.01,38.439413130798215,3983451.9341258924
24,Adenine,2.18,3.22,136.061776,1,67.03,30.047034144611228,2308645.6692265756
25,Adenosine,2.12,3.34,268.104032,1,136.06,19.235608368733807,25646092.4534073
26,Adenosine,2.12,3.34,268.104032,1,119.03,40.21655583420128,2979971.2885498605
27,Adenosine,2.12,3.34,268.104032,1,137.05,40.21655583420128,2110636.179568777
28,Adenosine,2.12,3.34,268.104032,1,119.04,40.21655583420128,1980878.2199134259
29,Adenosine,2.12,3.34,268.104032,1,94.04,40.21655583420128,1048538.4735629373
30,ADP,6.96,7.77,428.036686,1,136.06,23.486219723993955,682177.1337555943
31,ADP,6.96,7.77,428.036686,1,348.07,17.191935484353714,128798.08546478763
32,ADP,6.96,7.77,428.036686,1,137.05,42.36907244291468,42730.611757475664
33,ADP,6.96,7.77,428.036686,1,97.03,33.97669345672769,38246.3247128262
34,ADP,6.96,7.77,428.036686,1,119.04,42.36907244291468,36950.035498671656
35,Asparagine,6.4,6.86,133.060766,1,74.02,17.418075390384672,87069.5934092972
36,Asparagine,6.4,6.86,133.060766,1,87.06,9.025696404197685,58085.1932132473
37,Asparagine,6.4,6.86,133.060766,1,87.05,13.221885897291179,26490.709885978176
38,Asparagine,6.4,6.86,133.060766,1,116.03,9.025696404197685,11409.90848510478
39,Asparagine,6.4,6.86,133.060766,1,88.04,9.025696404197685,7961.515611675962
40,ATP,7.98,8.51,508.003026,1,136.06,30.85676244295652,453227.8242560717
41,ATP,7.98,8.51,508.003026,1,410.03,18.268193963676033,159946.42242104383
42,ATP,7.98,8.51,508.003026,1,428.04,18.268193963676033,57279.6129025958
43,ATP,7.98,8.51,508.003026,1,348.07,18.268193963676033,38807.777424956344
44,ATP,7.98,8.51,508.003026,1,97.03,26.660572949863024,34579.3014724177
45,beta-Alanine,6.53,6.99,90.054956,1,72.08,14.741170013357344,28936.399984117033
