,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
0,Acetoacetyl-CoA,6.1,6.57,852.14364,1,345.15,25.0,1417690.4271690827
1,Acetoacetyl-CoA,6.1,6.57,852.14364,1,428.04,20.0,440455.9575151183
2,Acetoacetyl-CoA,6.1,6.57,852.14364,1,243.08,20.0,319450.3955099737
3,Acetoacetyl-CoA,6.1,6.57,852.14364,1,261.13,35.0,303422.1431920629
4,Acetoacetyl-CoA,6.1,6.57,852.14364,1,136.06,40.0,281436.6284367361
5,Acetyl-CoA,6.02,6.43,810.13307,1,303.14,30.0,893808.4141221239
6,Acetyl-CoA,6.02,6.43,810.13307,1,428.04,20.0,300896.3028982598
7,Acetyl-CoA,6.02,6.43,810.13307,1,159.06,40.0,195285.49431218032
8,Acetyl-CoA,6.02,6.43,810.13307,1,136.06,40.0,180158.46033218823
9,Acetyl-CoA,6.02,6.43,810.13307,1,201.07,20.0,125928.92750249401
10,Adenosine,2.12,3.34,268.10405640000005,1,136.06,30.0,25646092.4534073
11,Adenosine,2.12,3.34,268.10405640000005,1,119.03,80.0,2979971.2885498605
12,Adenosine,2.12,3.34,268.10405640000005,1,137.05,80.0,2110636.179568777
13,Adenosine,2.12,3.34,268.10405640000005,1,119.04,80.0,1980878.2199134259
14,Adenosine,2.12,3.34,268.10405640000005,1,94.04,80.0,1048538.4735629373
15,ADP,6.96,7.77,428.03671,1,136.06,35.0,682177.1337555943
16,ADP,6.96,7.77,428.03671,1,348.07,20.0,128798.08546478763
17,ADP,6.96,7.77,428.03671,1,137.05,80.0,42730.611757475664
18,ADP,6.96,7.77,428.03671,1,97.03,60.0,38246.3247128262
19,ADP,6.96,7.77,428.03671,1,119.04,80.0,36950.035498671656
20,Alanine,6.07,6.5,90.05498,1,72.08,20.0,20263.17594791859
21,Alanine,6.07,6.5,90.05498,1,70.06,25.0,2071.8451564270217
22,Alanine,6.07,6.5,90.05498,1,57.06,40.0,940.082382943677
23,Alanine,6.07,6.5,90.05498,1,70.07,35.0,776.0842349546585
24,Alanine,6.07,6.5,90.05498,1,55.29,10.0,516.6343295351336
25,Arginine,11.5,12.2,175.11898,1,70.06,40.0,1016529.9131385745
26,Arginine,11.5,12.2,175.11898,1,60.06,20.0,289238.1830882647
27,Arginine,11.5,12.2,175.11898,1,116.07,20.0,255444.0361786108
28,Arginine,11.5,12.2,175.11898,1,130.1,20.0,99517.00086842613
29,Arginine,11.5,12.2,175.11898,1,158.09,20.0,98292.61534629126
30,ATP,7.98,8.51,508.00305,1,136.06,50.0,453227.8242560717
31,ATP,7.98,8.51,508.00305,1,410.03,20.0,159946.42242104383
32,ATP,7.98,8.51,508.00305,1,428.04,20.0,57279.6129025958
33,ATP,7.98,8.51,508.00305,1,348.07,20.0,38807.777424956344
34,ATP,7.98,8.51,508.00305,1,97.03,40.0,34579.3014724177
35,beta-Alanine,6.53,6.99,90.05498,1,72.08,25.0,28936.399984117033
36,beta-Alanine,6.53,6.99,90.05498,1,72.04,10.0,22595.432238862923
37,beta-Alanine,6.53,6.99,90.05498,1,70.06,35.0,3391.1226013877254
38,beta-Alanine,6.53,6.99,90.05498,1,61.03,30.0,2778.9908081415097
39,beta-Alanine,6.53,6.99,90.05498,1,70.07,30.0,1458.2746545216353
