,Name,rt_start,rt_end,mz,Charge,Product mz,CE,Normalized Intensity
0,cAMP,1.78,3.57,330.0597957,1,136.06,40.0,5567093.43086657
1,cAMP,1.78,3.57,330.0597957,1,119.03,80.0,581714.4456064933
2,cAMP,1.78,3.57,330.0597957,1,137.05,80.0,407753.3363963838
3,cAMP,1.78,3.57,330.0597957,1,119.04,80.0,305319.2271043682
4,cAMP,1.78,3.57,330.0597957,1,94.04,80.0,252509.28385216836
5,cGMP,5.17,5.58,346.054706,1,152.06,30.0,2257024.7891473053
6,cGMP,5.17,5.58,346.054706,1,135.03,70.0,553136.1169033785
7,cGMP,5.17,5.58,346.054706,1,153.04,80.0,492692.1501484148
8,cGMP,5.17,5.58,346.054706,1,110.03,80.0,307089.86947774707
9,cGMP,5.17,5.58,346.054706,1,128.05,80.0,74353.74108724749
10,Acetoacetyl-CoA,6.1,6.57,852.1436160000001,1,345.15,25.0,1417690.4271690827
11,Acetoacetyl-CoA,6.1,6.57,852.1436160000001,1,428.04,20.0,440455.9575151183
12,Acetoacetyl-CoA,6.1,6.57,852.1436160000001,1,243.08,20.0,319450.3955099737
13,Acetoacetyl-CoA,6.1,6.57,852.1436160000001,1,261.13,35.0,303422.1431920629
14,Acetoacetyl-CoA,6.1,6.57,852.1436160000001,1,136.06,40.0,281436.6284367361
15,Acetyl-CoA,6.02,6.43,810.133046,1,303.14,30.0,893808.4141221239
16,Acetyl-CoA,6.02,6.43,810.133046,1,428.04,20.0,300896.3028982598
17,Acetyl-CoA,6.02,6.43,810.133046,1,159.06,40.0,195285.49431218032
18,Acetyl-CoA,6.02,6.43,810.133046,1,136.06,40.0,180158.46033218823
19,Acetyl-CoA,6.02,6.43,810.133046,1,201.07,20.0,125928.92750249401
20,Adenine,2.18,3.22,136.061776,1,119.03,50.0,8103957.102456
21,Adenine,2.18,3.22,136.061776,1,119.04,40.0,6099204.346215867
22,Adenine,2.18,3.22,136.061776,1,92.02,60.0,4759605.1763991825
23,Adenine,2.18,3.22,136.061776,1,65.01,80.0,3983451.9341258924
24,Adenine,2.18,3.22,136.061776,1,67.03,60.0,2308645.6692265756
25,Adenosine,2.12,3.34,268.10403199999996,1,136.06,30.0,25646092.4534073
26,Adenosine,2.12,3.34,268.10403199999996,1,119.03,80.0,2979971.2885498605
27,Adenosine,2.12,3.34,268.10403199999996,1,137.05,80.0,2110636.179568777
28,Adenosine,2.12,3.34,268.10403199999996,1,119.04,80.0,1980878.2199134259
29,Adenosine,2.12,3.34,268.10403199999996,1,94.04,80.0,1048538.4735629373
30,ADP,6.96,7.77,428.03668600000003,1,136.06,35.0,682177.1337555943
