Name,mz,rt_start,rt_end,Charge,Product mz,CE,RF Lens (V),Training
Acetyl-CoA,808.11847,6.02,6.43,-1,461.167,34.74,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,426.167,33.26,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,408.11300000000006,35.24,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,510.167,37.1,168,1
Acetyl-CoA,808.11847,6.02,6.43,-1,728.25,34.49,168,1
Adenine,134.0472,2.18,3.22,-1,107.054,17.17,63,1
Adenine,134.0472,2.18,3.22,-1,92.042,19.2,63,1
Adenine,134.0472,2.18,3.22,-1,65.196,28.08,63,1
ADP,426.02210999999994,6.96,7.77,-1,328.125,16.04,103,1
ADP,426.02210999999994,6.96,7.77,-1,408.185,18.69,103,1
ADP,426.02210999999994,6.96,7.77,-1,159.03,25.6,103,1
ADP,426.02210999999994,6.96,7.77,-1,273.04200000000003,23.79,103,1
ADP,426.02210999999994,6.96,7.77,-1,134.125,22.78,103,1
ATP,505.98845,7.98,8.51,-1,408.05400000000003,19.83,124,1
ATP,505.98845,7.98,8.51,-1,159.042,30.53,124,1
ATP,505.98845,7.98,8.51,-1,426.07099999999997,24.97,124,1
ATP,505.98845,7.98,8.51,-1,273.04200000000003,28.25,124,1
ATP,505.98845,7.98,8.51,-1,176.958,22.9,124,1
Citrate,191.0197,8.85,9.32,-1,87.042,16.79,43,1
Citrate,191.0197,8.85,9.32,-1,85.196,15.61,43,1
Citrate,191.0197,8.85,9.32,-1,111.054,12.08,43,1
G6P,259.02242,7.28,8.25,-1,97.042,14.98,54,1
G6P,259.02242,7.28,8.25,-1,199.071,9.84,54,1
G6P,259.02242,7.28,8.25,-1,79.042,35.67,54,1
G6P,259.02242,7.28,8.25,-1,169.042,9.89,54,1
G6P,259.02242,7.28,8.25,-1,139.042,14.1,54,1
Lactate,89.0244,1.49,2.51,-1,43.053999999999995,10.86,33,1
Lactate,89.0244,1.49,2.51,-1,45.0,11.32,33,1
Lactate,89.0244,1.49,2.51,-1,71.083,9.3,33,1
Lactate,89.0244,1.49,2.51,-1,41.196000000000005,23.41,33,1
Lactate,89.0244,1.49,2.51,-1,87.054,8.29,33,1
Acetyl-CoA,810.13307,6.02,6.43,1,303.101,31.58,125,1
Acetyl-CoA,810.13307,6.02,6.43,1,428.19599999999997,26.9,125,1
Acetyl-CoA,810.13307,6.02,6.43,1,410.125,24.25,125,1
Acetyl-CoA,810.13307,6.02,6.43,1,136.125,48.09,125,1
Acetyl-CoA,810.13307,6.02,6.43,1,401.208,22.61,125,1
Adenosine,268.10405640000005,2.12,3.34,1,136.125,19.57,62,1
Adenosine,268.10405640000005,2.12,3.34,1,119.054,47.38,62,1
Adenosine,268.10405640000005,2.12,3.34,1,92.125,53.99,62,1
ADP,428.03670999999997,6.96,7.77,1,136.054,27.03,76,1
ADP,428.03670999999997,6.96,7.77,1,348.25,18.56,76,1
ADP,428.03670999999997,6.96,7.77,1,119.042,55.0,76,1
ADP,428.03670999999997,6.96,7.77,1,97.054,37.01,76,1
ADP,428.03670999999997,6.96,7.77,1,232.125,27.96,76,1
ATP,508.00305,7.98,8.51,1,410.05400000000003,18.69,97,1
ATP,508.00305,7.98,8.51,1,136.25,33.26,97,1
ATP,508.00305,7.98,8.51,1,348.05400000000003,17.76,97,1
ATP,508.00305,7.98,8.51,1,428.05400000000003,21.26,97,1
ATP,508.00305,7.98,8.51,1,330.05400000000003,28.88,97,1
cAMP,330.0598197,1.78,3.57,1,136.125,26.61,100,1
cAMP,330.0598197,1.78,3.57,1,119.167,53.36,100,1
G6P,261.03702000000004,7.28,8.25,1,243.042,7.36,40,1
G6P,261.03702000000004,7.28,8.25,1,127.042,15.28,40,1
G6P,261.03702000000004,7.28,8.25,1,99.113,16.5,40,1
G6P,261.03702000000004,7.28,8.25,1,225.0,9.55,40,1
G6P,261.03702000000004,7.28,8.25,1,109.054,19.49,40,1
Phenylalanine,166.08628000000002,3.22,3.98,1,120.125,14.39,36,1
Phenylalanine,166.08628000000002,3.22,3.98,1,103.125,28.04,36,1
Phenylalanine,166.08628000000002,3.22,3.98,1,77.196,39.33,36,1
