Name,mz,Product mz,rt_start,rt_end,CE,Charge,Training
Adenine,136.061776,119.0,2.18,3.22,24,1,1
Adenine,136.061776,118.9,2.18,3.22,24,1,1
Adenosine,268.10403199999996,136.1,2.12,3.34,16,1,1
Adenosine,268.10403199999996,119.0,2.12,3.34,40,1,1
cAMP,330.0597957,312.1,1.78,3.57,16,1,1
cAMP,330.0597957,135.9,1.78,3.57,24,1,1
Citrate,193.034276,111.0,8.85,9.32,20,1,1
Citrate,193.034276,69.0,8.85,9.32,40,1,1
Phenylalanine,166.086256,120.0,3.22,3.98,12,1,1
Phenylalanine,166.086256,103.0,3.22,3.98,32,1,1
Acetyl-CoA,808.118494,461.1,6.02,6.43,40,-1,1
Acetyl-CoA,808.118494,408.0,6.02,6.43,40,-1,1
Adenine,134.047224,106.9,2.18,3.22,20,-1,1
Adenine,134.047224,92.0,2.18,3.22,20,-1,1
Adenosine,266.08948080000005,134.1,2.12,3.34,24,-1,1
Adenosine,266.08948080000005,107.0,2.12,3.34,40,-1,1
cAMP,328.0452437,79.1,1.78,3.57,40,-1,1
cAMP,328.0452437,134.0,1.78,3.57,28,-1,1
ADP,426.022134,426.0,6.96,7.77,5,-1,1
ADP,426.022134,79.0,6.96,7.77,40,-1,1
ATP,505.988474,506.0,7.98,8.51,5,-1,1
ATP,505.988474,79.0,7.98,8.51,40,-1,1
Citrate,191.019724,87.0,8.85,9.32,25,-1,1
Citrate,191.019724,111.0,8.85,9.32,10,-1,1
G6P,259.022444,96.9,7.28,8.25,16,-1,1
G6P,259.022444,79.0,7.28,8.25,40,-1,1
Lactate,89.024424,43.1,1.49,2.51,40,-1,1
Lactate,89.024424,41.0,1.49,2.51,40,-1,1
