Name,rt_start,rt_end,mz,Charge
6-PGA,8.53,8.92,275.0173364,-1
Acetoacetyl-CoA,6.1,6.57,850.12904,-1
Acetyl-CoA,6.02,6.43,808.11847,-1
Adenine,2.18,3.22,134.0472,-1
ADP,6.96,7.77,426.02210999999994,-1
AKG,6.84,7.28,145.01422,-1
Asparagine,6.4,6.86,131.04619,-1
Aspartate,6.45,6.95,132.03021,-1
ATP,7.98,8.51,505.98845,-1
Chelidamate,6.46,6.95,182.0095,-1
cis-Aconitate,8.05,9.74,173.00914,-1
Citrate,8.85,9.32,191.0197,-1
CMP-sialic-acid,7.0,7.4,613.1399675,-1
cGMP,5.17,5.58,344.04013,-1
DHAP,6.65,7.23,168.9907,-1
FBP,8.9,9.33,338.98875,-1
F6P,7.21,8.25,259.02242,-1
G1P,7.31,8.17,259.02242,-1
GN6P,7.48,8.03,258.0384,-1
G6P,7.28,8.25,259.02242,-1
G3P,6.8,7.81,168.9907245,-1
Hydroxyglutarate,6.75,7.16,147.0298734,-1
Isocitrate,8.48,9.76,191.0197,-1
Lactate,1.49,2.51,89.0244,-1
Malate,7.19,7.76,133.01422,-1
Mannitol,5.56,5.97,181.0717364,-1
Oxamate,4.07,4.54,88.00399999999999,-1
PEP,8.44,8.78,166.97507439999998,-1
Pyruvate,6.47,8.31,87.00874,-1
R5P,7.05,7.54,229.0118538,-1
Selenomethionine,4.22,4.73,195.98819640000002,-1
Succinate,6.59,7.01,117.01931,-1
Succinyl-CoA,7.95,8.26,866.1239524,-1
Trehalose,6.96,7.35,341.10892,-1
Uridine,2.81,3.67,243.06224,-1
UDP-N-acetyl-GN,6.9,7.34,606.0742695,-1
Acetoacetyl-CoA,6.1,6.57,852.14364,1
Acetyl-CoA,6.02,6.43,810.13307,1
Adenosine,2.12,3.34,268.10405640000005,1
ADP,6.96,7.77,428.03670999999997,1
Alanine,6.07,6.5,90.05498,1
Arginine,11.5,12.2,175.11898,1
ATP,7.98,8.51,508.00305,1
beta-Alanine,6.53,6.99,90.05498,1
CMP-sialic-acid,7.0,7.4,615.1545675,1
cAMP,1.78,3.57,330.0598197,1
Cystine,6.95,7.43,241.03115,1
Cytidine,4.5,4.98,244.09281639999998,1
Dopamine,10.66,13.26,154.0863,1
FBP,8.9,9.33,341.00335,1
G1P,7.31,8.17,261.03702000000004,1
GABA,6.51,7.03,104.07063000000001,1
GN6P,7.48,8.03,260.053,1
G6P,7.28,8.25,261.03702000000004,1
Glutamine,6.37,6.72,147.07644,1
Guanosine,5.08,5.48,284.0989664,1
Histamine,11.17,15.53,112.0869473,1
Histidine,7.42,9.15,156.07678,1
Homocystine,7.06,7.53,269.06245,1
Isoleucine,4.24,4.72,132.10193,1
Leucine,3.87,4.23,132.10193,1
Methionine,4.3,4.84,150.05835,1
N-Acetyl-GN1P,6.59,7.07,302.06356760000006,1
N-Acetyl-MN,4.5,5.17,222.09724,1
N-Acety-MN6P,6.59,7.07,302.0636,1
NANA,5.17,5.65,310.11328,1
Norepinephrine,12.3,14.3,170.08119319999997,1
Phenylalanine,3.22,3.98,166.08628000000002,1
Proline,4.95,5.41,116.07063000000001,1
S-Adenosylmethionine,7.54,7.94,399.14454,1
Selenomethionine,4.22,4.73,198.00279640000002,1
Serine,6.69,7.08,106.04989640000001,1
Serotonine,11.96,15.04,177.102263,1
Succinyl-CoA,7.95,8.26,868.1385524,1
Threonine,5.82,6.24,120.06553999999998,1
Tryptophan,4.5,5.02,205.09717759999998,1
Uracil,1.84,2.53,113.03458,1
UDP-N-acetyl-GN,6.9,7.34,608.0888695,1
Valine,4.79,5.17,118.08628,1
