Name,rt_start,rt_end,mz,Charge
cAMP,1.78,3.57,330.0597957,1
cGMP,5.17,5.58,346.054706,1
6-PGA,8.53,8.92,277.03191200000003,1
Acetoacetyl-CoA,6.1,6.57,852.1436160000001,1
Acetyl-CoA,6.02,6.43,810.133046,1
Adenine,2.18,3.22,136.061776,1
Adenosine,2.12,3.34,268.10403199999996,1
ADP,6.96,7.77,428.03668600000003,1
Asparagine,6.4,6.86,133.060766,1
ATP,7.98,8.51,508.003026,1
beta-Alanine,6.53,6.99,90.054956,1
Chelidamate,6.46,6.95,184.024076,1
CMP-sialic-acid,7.0,7.4,615.1545434999999,1
Cystine,6.95,7.43,241.03112599999997,1
Cytidine,4.5,4.98,244.092792,1
Dopamine,10.66,13.26,154.086276,1
GABA,6.51,7.03,104.07060600000001,1
GN6P,7.48,8.03,260.052976,1
Glutamine,6.37,6.72,147.076416,1
Guanosine,5.08,5.48,284.09894199999997,1
Histamine,11.17,15.53,112.0869233,1
Homocystine,7.06,7.53,269.06242599999996,1
Indole-3-acetate,1.32,2.4,176.0706045,1
N-Acetyl-MN,4.5,5.17,222.097216,1
NANA,5.17,5.65,310.113256,1
NAD,6.12,6.54,664.116396,1
S-Adenosylmethionine,7.54,7.94,399.144516,1
Selenomethionine,4.22,4.73,198.002772,1
Serotonine,11.96,15.04,177.102239,1
Succinyl-CoA,7.95,8.26,868.1385284,1
Tryptophan,4.5,5.02,205.09715359999998,1
Uracil,1.84,2.53,113.03455600000001,1
Uridine,2.81,3.67,245.076816,1
UDP-N-acetyl-GN,6.9,7.34,608.0888455,1
cAMP,1.78,3.57,328.0452437,-1
cGMP,5.17,5.58,344.04015400000003,-1
6-PGA,8.53,8.92,275.0173608,-1
Acetoacetyl-CoA,6.1,6.57,850.1290640000001,-1
Acetyl-CoA,6.02,6.43,808.118494,-1
Adenine,2.18,3.22,134.047224,-1
Adenosine,2.12,3.34,266.08948080000005,-1
ADP,6.96,7.77,426.022134,-1
Asparagine,6.4,6.86,131.046214,-1
ATP,7.98,8.51,505.988474,-1
Cellobiose,6.96,7.35,341.108944,-1
Chelidamate,6.46,6.95,182.009524,-1
cis-Aconitate,8.05,9.74,173.009164,-1
Citrate,8.85,9.32,191.019724,-1
CMP-sialic-acid,7.0,7.4,613.1399915,-1
Cystine,6.95,7.43,239.01657400000002,-1
Cytidine,4.5,4.98,242.07824080000003,-1
DHAP,6.65,7.23,168.990724,-1
F6P,7.21,8.25,259.022444,-1
FBP,8.9,9.33,338.98877400000003,-1
Fumarate,7.2,7.72,115.003684,-1
G1P,7.31,8.17,259.022444,-1
GN6P,7.48,8.03,258.038424,-1
G6P,7.28,8.25,259.022444,-1
Glutamine,6.37,6.72,145.06186399999999,-1
G3P,6.8,7.81,168.99074850000002,-1
Guanosine,5.08,5.48,282.08439080000005,-1
Homocystine,7.06,7.53,267.04787400000004,-1
Hydroxyglutarate,6.75,7.16,147.0298974,-1
Indole-3-acetate,1.32,2.4,174.0560525,-1
Isocitrate,8.48,9.76,191.019724,-1
Malate,7.19,7.76,133.014244,-1
Mannitol,5.56,5.97,181.0717608,-1
N-Acetyl-GN1P,6.59,7.07,300.0489916,-1
N-Acetyl-MN,4.5,5.17,220.08266400000002,-1
N-Acety-MN6P,6.59,7.07,300.04902400000003,-1
NANA,5.17,5.65,308.098704,-1
NAD,6.12,6.54,662.101844,-1
PEP,8.44,8.78,166.9750984,-1
Ribose,4.32,4.82,149.0455474,-1
R5P,7.05,7.54,229.01187779999998,-1
Selenomethionine,4.22,4.73,195.98822080000002,-1
Serotonine,11.96,15.04,175.08768700000002,-1
Succinate,6.59,7.01,117.01933400000001,-1
Trehalose,6.96,7.35,341.108944,-1
Tryptophan,4.5,5.02,203.08260159999998,-1
Uracil,1.84,2.53,111.020004,-1
Uridine,2.81,3.67,243.062264,-1
UDP-N-acetyl-GN,6.9,7.34,606.0742935,-1
AKG,6.84,7.28,145.014244,-1
Glutamate,6.16,6.54,148.060436,1
Aspartate,6.45,6.95,134.04478600000002,1
Alanine,6.07,6.5,90.054956,1
Methionine,4.3,4.84,150.058326,1
Serine,6.69,7.08,106.04987240000001,1
Glycine,6.69,7.09,76.03930600000001,1
Threonine,5.82,6.24,120.06551599999999,1
Proline,4.95,5.41,116.07060600000001,1
Valine,4.79,5.17,118.086256,1
Isoleucine,4.24,4.72,132.101906,1
Leucine,3.87,4.23,132.101906,1
Phenylalanine,3.22,3.98,166.086256,1
Histidine,7.42,9.15,156.07675600000002,1
Arginine,11.5,12.2,175.118956,1
Lysine,11.13,12.0,147.112806,1
Cysteine,6.99,7.43,122.027026,1
