Name,mz,rt_start,rt_end,Precursor Charge
2-Deoxyglucose,163.061194,5.54,5.99,-1
cAMP,328.045244,1.78,3.57,-1
cGMP,344.040154,5.17,5.58,-1
6-PGA,275.017361,8.53,8.92,-1
Acetoacetyl-CoA,850.129064,6.1,6.57,-1
Acetyl-CoA,808.118494,6.02,6.43,-1
Adenine,134.047224,2.18,3.22,-1
Adenosine,266.089481,2.12,3.34,-1
ADP,426.022134,6.96,7.77,-1
Alanine,88.040404,6.07,6.5,-1
Arginine,173.104404,11.5,12.2,-1
Asparagine,131.046214,6.4,6.86,-1
Aspartate,132.030234,6.45,6.95,-1
ATP,505.988474,7.98,8.51,-1
beta-Alanine,88.040404,6.53,6.99,-1
Cellobiose,341.108944,6.96,7.35,-1
Chelidamate,182.009524,6.46,6.95,-1
cis-Aconitate,173.009164,8.05,9.74,-1
Citrate,191.019724,8.85,9.32,-1
CMP-sialic-acid,613.139992,7,7.4,-1
Cysteine,120.012474,6.99,7.43,-1
Cystine,239.016574,6.95,7.43,-1
Cytidine,242.078241,4.5,4.98,-1
DHAP,168.990724,6.65,7.23,-1
Dopamine,152.071724,10.66,13.26,-1
F6P,259.022444,7.21,8.25,-1
FBP,338.988774,8.9,9.33,-1
Fumarate,115.003684,7.2,7.72,-1
G1P,259.022444,7.31,8.17,-1
GABA,102.056054,6.51,7.03,-1
GN6P,258.038424,7.48,8.03,-1
G6P,259.022444,7.28,8.25,-1
Glutamate,146.045884,6.16,6.54,-1
Glutamine,145.061864,6.37,6.72,-1
G3P,168.990749,6.8,7.81,-1
Glycine,74.024754,6.69,7.09,-1
Guanosine,282.084391,5.08,5.48,-1
Histamine,110.072371,11.17,15.53,-1
Histidine,154.062204,7.42,9.15,-1
Homocystine,267.047874,7.06,7.53,-1
Hydroxyglutarate,147.029897,6.75,7.16,-1
Indole-3-acetate,174.056052,1.32,2.4,-1
Isocitrate,191.019724,8.48,9.76,-1
Isoleucine,130.087354,4.24,4.72,-1
Lactate,89.024424,1.49,2.51,-1
Leucine,130.087354,3.87,4.23,-1
Lysine,145.098254,11.13,12,-1
Malate,133.014244,7.19,7.76,-1
Mannitol,181.071761,5.56,5.97,-1
Methionine,148.043774,4.3,4.84,-1
N-Acetyl-GN1P,300.048992,6.59,7.07,-1
N-Acetyl-MN,220.082664,4.5,5.17,-1
N-Acety-MN6P,300.049024,6.59,7.07,-1
NANA,308.098704,5.17,5.65,-1
NAD,662.101844,6.12,6.54,-1
Oxamate,88.004024,4.07,4.54,-1
Phenylalanine,164.071704,3.22,3.98,-1
PEP,166.975098,8.44,8.78,-1
Proline,114.056054,4.95,5.41,-1
Pyruvate,87.008764,6.47,8.31,-1
Ribose,149.045547,4.32,4.82,-1
R5P,229.011878,7.05,7.54,-1
S-Adenosylmethionine,397.129964,7.54,7.94,-1
Selenomethionine,195.988221,4.22,4.73,-1
Serine,104.035321,6.69,7.08,-1
Serotonine,175.087687,11.96,15.04,-1
Succinate,117.019334,6.59,7.01,-1
Succinyl-CoA,866.123976,7.95,8.26,-1
Threonine,118.050964,5.82,6.24,-1
Trehalose,341.108944,6.96,7.35,-1
Tryptophan,203.082602,4.5,5.02,-1
Uracil,111.020004,1.84,2.53,-1
Uridine,243.062264,2.81,3.67,-1
UDP-N-acetyl-GN,606.074294,6.9,7.34,-1
Valine,116.071704,4.79,5.17,-1
AKG,145.014244,6.84,7.28,-1
